Pos,No,Driver,Car,Lap,Time
1,6,Jacques VilleneuveVIL,Williams Renault,67,1:21.916
2,5,Damon HillHIL,Williams Renault,36,1:21.957
3,3,Jean AlesiALE,Benetton Renault,36,1:22.824
4,8,David CoulthardCOU,McLaren Mercedes,69,1:22.941
5,12,Martin BrundleBRU,Jordan Peugeot,68,1:22.958
6,11,Rubens BarrichelloBAR,Jordan Peugeot,18,1:23.028
7,7,Mika HakkinenHAK,McLaren Mercedes,64,1:23.070
8,4,Gerhard BergerBER,Benetton Renault,27,1:23.102
9,9,Olivier PanisPAN,Ligier Mugen Honda,28,1:23.399
10,19,Mika SaloSAL,Tyrrell Yamaha,28,1:23.648
11,14,Johnny HerbertHER,Sauber Ford,35,1:23.907
12,15,Heinz-Harald FrentzenFRE,Sauber Ford,18,1:24.082
13,1,Michael SchumacherMSC,Ferrari,36,1:24.163
14,10,Pedro DinizDIN,Ligier Mugen Honda,27,1:24.332
15,21,Giancarlo FisichellaFIS,Minardi Ford,60,1:24.349
16,23,Andrea MonterminiMON,Forti Ford,18,1:24.621
17,17,Jos VerstappenVER,Footwork Hart,7,1:24.844
18,20,Pedro LamyLAM,Minardi Ford,35,1:24.855
19,18,Ukyo KatayamaKAT,Tyrrell Yamaha,6,1:25.769
20,22,Luca BadoerBAD,Forti Ford,18,1:26.007
21,16,Ricardo RossetROS,Footwork Hart,5,1:26.347
22,2,Eddie IrvineIRV,Ferrari,1,1:33.016
