Pos,No,Driver,Car,Lap,Time
1,6,Jacques VilleneuveVIL,Williams Renault,21,1:29.288
2,4,Gerhard BergerBER,Benetton Renault,56,1:29.984
3,5,Damon HillHIL,Williams Renault,3,1:30.264
4,7,Mika HakkinenHAK,McLaren Mercedes,42,1:30.531
5,12,Martin BrundleBRU,Jordan Peugeot,33,1:30.552
6,3,Jean AlesiALE,Benetton Renault,3,1:30.553
7,11,Rubens BarrichelloBAR,Jordan Peugeot,21,1:30.671
8,1,Michael SchumacherMSC,Ferrari,2,1:30.944
9,8,David CoulthardCOU,McLaren Mercedes,49,1:31.282
10,2,Eddie IrvineIRV,Ferrari,4,1:31.490
11,19,Mika SaloSAL,Tyrrell Yamaha,57,1:31.765
12,17,Jos VerstappenVER,Footwork Hart,55,1:32.080
13,9,Olivier PanisPAN,Ligier Mugen Honda,18,1:32.188
14,14,Johnny HerbertHER,Sauber Ford,55,1:32.213
15,10,Pedro DinizDIN,Ligier Mugen Honda,4,1:32.508
16,15,Heinz-Harald FrentzenFRE,Sauber Ford,54,1:32.662
17,18,Ukyo KatayamaKAT,Tyrrell Yamaha,10,1:32.699
18,16,Ricardo RossetROS,Footwork Hart,12,1:33.382
19,21,Giancarlo FisichellaFIS,Minardi Ford,30,1:33.707
20,20,Pedro LamyLAM,Minardi Ford,5,1:34.372
