Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,55,1:21.363
2,1,Michael SchumacherMSC,Ferrari,49,1:21.769
3,4,Gerhard BergerBER,Benetton Renault,8,1:22.004
4,7,Mika HakkinenHAK,McLaren Mercedes,36,1:22.078
5,6,Jacques VilleneuveVIL,Williams Renault,45,1:22.090
6,11,Rubens BarrichelloBAR,Jordan Peugeot,55,1:22.472
7,8,David CoulthardCOU,McLaren Mercedes,64,1:22.550
8,18,Ukyo KatayamaKAT,Tyrrell Yamaha,27,1:22.602
9,15,Heinz-Harald FrentzenFRE,Sauber Ford,22,1:22.697
10,19,Mika SaloSAL,Tyrrell Yamaha,31,1:22.791
11,12,Martin BrundleBRU,Jordan Peugeot,51,1:22.815
12,14,Johnny HerbertHER,Sauber Ford,10,1:23.225
13,17,Jos VerstappenVER,Footwork Hart,15,1:23.233
14,10,Pedro DinizDIN,Ligier Mugen Honda,9,1:23.720
15,16,Ricardo RossetROS,Footwork Hart,43,1:24.050
16,9,Olivier PanisPAN,Ligier Mugen Honda,4,1:24.168
17,20,Pedro LamyLAM,Minardi Ford,14,1:24.369
18,2,Eddie IrvineIRV,Ferrari,2,1:24.616
19,21,Giancarlo FisichellaFIS,Minardi Ford,21,1:24.660
20,3,Jean AlesiALE,Benetton Renault,1,1:36.595
