Pos,No,Driver,Car,Lap,Time
1,5,Damon HillHIL,Williams Renault,49,1:28.931
2,1,Michael SchumacherMSC,Ferrari,36,1:28.966
3,6,Jacques VilleneuveVIL,Williams Renault,22,1:29.226
4,8,David CoulthardCOU,McLaren Mercedes,40,1:29.480
5,2,Eddie IrvineIRV,Ferrari,39,1:29.503
6,3,Jean AlesiALE,Benetton Renault,38,1:29.542
7,4,Gerhard BergerBER,Benetton Renault,47,1:29.667
8,11,Rubens BarrichelloBAR,Jordan Peugeot,27,1:29.888
9,19,Mika SaloSAL,Tyrrell Yamaha,17,1:29.997
10,12,Martin BrundleBRU,Jordan Peugeot,25,1:30.000
11,9,Olivier PanisPAN,Ligier Mugen Honda,40,1:30.184
12,7,Mika HakkinenHAK,McLaren Mercedes,39,1:30.192
13,18,Ukyo KatayamaKAT,Tyrrell Yamaha,44,1:30.772
14,14,Johnny HerbertHER,Sauber Ford,21,1:30.811
15,17,Jos VerstappenVER,Footwork Hart,38,1:30.479
16,10,Pedro DinizDIN,Ligier Mugen Honda,33,1:30.852
17,15,Heinz-Harald FrentzenFRE,Sauber Ford,18,1:31.092
18,21,Giancarlo FisichellaFIS,Minardi Ford,18,1:31.633
19,20,Pedro LamyLAM,Minardi Ford,17,1:31.897
20,16,Ricardo RossetROS,Footwork Hart,17,1:32.169
21,22,Luca BadoerBAD,Forti Ford,34,1:32.426
