Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,9,2:03.766,202.679
2,9,Damon HillHIL,Jordan Mugen Honda,7,2:05.630,199.672
3,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,7,2:06.284,198.637
4,4,Eddie IrvineIRV,Ferrari,6,2:06.561,198.203
5,14,Jean AlesiALE,Sauber Petronas,7,2:07.597,196.593
6,1,Jacques VilleneuveVIL,Williams Mecachrome,8,2:07.825,196.243
7,10,Ralf SchumacherRSC,Jordan Mugen Honda,7,2:08.399,195.366
8,5,Giancarlo FisichellaFIS,Benetton Playlife,5,2:09.528,193.663
9,7,David CoulthardCOU,McLaren Mercedes,33,2:10.950,191.560
10,16,Pedro DinizDIN,Arrows,5,2:11.331,191.004
11,12,Jarno TrulliTRU,Prost Peugeot,13,2:11.701,190.467
12,21,Toranosuke TakagiTAK,Tyrrell Ford,6,2:12.327,189.566
13,19,Jos VerstappenVER,Stewart Ford,8,2:12.425,189.426
14,22,Shinji NakanoNAK,Minardi Ford,12,2:13.230,188.281
15,23,Esteban TueroTUE,Minardi Ford,5,2:19.996,179.182
