Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,46,1:29.345,198.645
2,7,David CoulthardCOU,McLaren Mercedes,21,1:29.497,198.308
3,1,Jacques VilleneuveVIL,Williams Mecachrome,55,1:29.726,197.802
4,8,Mika HakkinenHAK,McLaren Mercedes,15,1:30.115,196.948
5,4,Eddie IrvineIRV,Ferrari,58,1:30.206,196.749
6,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,39,1:30.283,196.581
7,14,Jean AlesiALE,Sauber Petronas,23,1:30.391,196.346
8,11,Olivier PanisPAN,Prost Peugeot,53,1:30.481,196.151
9,9,Damon HillHIL,Jordan Mugen Honda,53,1:30.859,195.335
10,17,Mika SaloSAL,Arrows,19,1:31.267,194.462
11,6,Alexander WurzWUR,Benetton Playlife,14,1:31.562,193.835
12,10,Ralf SchumacherRSC,Jordan Mugen Honda,20,1:31.837,193.255
13,5,Giancarlo FisichellaFIS,Benetton Playlife,15,1:31.969,192.978
14,15,Johnny HerbertHER,Sauber Petronas,9,1:32.215,192.463
15,12,Jarno TrulliTRU,Prost Peugeot,9,1:32.361,192.159
16,21,Toranosuke TakagiTAK,Tyrrell Ford,21,1:32.430,192.015
17,16,Pedro DinizDIN,Arrows,11,1:32.988,190.863
18,23,Esteban TueroTUE,Minardi Ford,53,1:33.443,189.933
19,22,Shinji NakanoNAK,Minardi Ford,21,1:33.889,189.031
20,20,Ricardo RossetROS,Tyrrell Ford,9,1:34.491,187.827
21,19,Jan MagnussenMAG,Stewart Ford,5,1:35.069,186.685
