Pos,No,Driver,Car,Lap,Time,Avg speed
1,7,David CoulthardCOU,McLaren Mercedes,30,1:12.878,213.348
2,3,Michael SchumacherMSC,Ferrari,41,1:13.029,212.907
3,8,Mika HakkinenHAK,McLaren Mercedes,31,1:13.412,211.796
4,1,Jacques VilleneuveVIL,Williams Mecachrome,66,1:13.730,210.882
5,10,Ralf SchumacherRSC,Jordan Mugen Honda,69,1:13.972,210.193
6,6,Alexander WurzWUR,Benetton Playlife,70,1:14.040,210.000
7,5,Giancarlo FisichellaFIS,Benetton Playlife,20,1:14.044,209.988
8,4,Eddie IrvineIRV,Ferrari,58,1:14.066,209.926
9,9,Damon HillHIL,Jordan Mugen Honda,63,1:14.135,209.730
10,15,Johnny HerbertHER,Sauber Petronas,63,1:14.639,208.314
11,14,Jean AlesiALE,Sauber Petronas,21,1:14.791,207.891
12,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,16,1:15.446,206.086
13,22,Shinji NakanoNAK,Minardi Ford,37,1:15.575,205.734
14,19,Jos VerstappenVER,Stewart Ford,43,1:15.610,205.639
15,12,Jarno TrulliTRU,Prost Peugeot,59,1:15.709,205.370
16,23,Esteban TueroTUE,Minardi Ford,19,1:15.769,205.207
17,20,Ricardo RossetROS,Tyrrell Ford,28,1:16.100,204.315
18,18,Rubens BarrichelloBAR,Stewart Ford,5,1:16.822,202.395
19,16,Pedro DinizDIN,Arrows,2,2:02.090,127.351
