Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Alexander WurzWUR,Benetton Playlife,39,1:28.179,173.878
2,8,Mika HakkinenHAK,McLaren Mercedes,32,1:28.261,173.716
3,3,Michael SchumacherMSC,Ferrari,23,1:28.272,173.694
4,7,David CoulthardCOU,McLaren Mercedes,57,1:28.468,173.310
5,5,Giancarlo FisichellaFIS,Benetton Playlife,69,1:28.507,173.233
6,4,Eddie IrvineIRV,Ferrari,27,1:28.933,172.403
7,14,Jean AlesiALE,Sauber Petronas,44,1:29.000,172.274
8,11,Olivier PanisPAN,Prost Peugeot,57,1:29.201,171.885
9,9,Damon HillHIL,Jordan Mugen Honda,46,1:29.310,171.676
10,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,37,1:29.592,171.135
11,1,Jacques VilleneuveVIL,Williams Mecachrome,35,1:29.694,170.941
12,15,Johnny HerbertHER,Sauber Petronas,30,1:29.857,170.631
13,18,Rubens BarrichelloBAR,Stewart Ford,36,1:30.408,169.591
14,12,Jarno TrulliTRU,Prost Peugeot,25,1:30.876,168.717
15,23,Esteban TueroTUE,Minardi Ford,27,1:30.992,168.502
16,21,Toranosuke TakagiTAK,Tyrrell Ford,41,1:31.057,168.382
17,22,Shinji NakanoNAK,Minardi Ford,36,1:31.168,168.177
18,10,Ralf SchumacherRSC,Jordan Mugen Honda,17,1:31.541,167.492
19,17,Mika SaloSAL,Arrows,12,1:32.519,165.721
20,19,Jan MagnussenMAG,Stewart Ford,16,1:32.808,165.205
21,20,Ricardo RossetROS,Tyrrell Ford,42,1:33.091,164.703
22,16,Pedro DinizDIN,Arrows,8,1:33.350,164.246
