Pos,No,Driver,Car,Lap,Time,Avg speed
1,8,Mika HakkinenHAK,McLaren Mercedes,45,1:25.139,243.977
2,3,Michael SchumacherMSC,Ferrari,26,1:25.483,242.995
3,7,David CoulthardCOU,McLaren Mercedes,14,1:25.959,241.650
4,10,Ralf SchumacherRSC,Jordan Mugen Honda,49,1:26.194,240.991
5,12,Jarno TrulliTRU,Prost Peugeot,50,1:26.285,240.737
6,4,Eddie IrvineIRV,Ferrari,48,1:26.359,240.530
7,1,Jacques VilleneuveVIL,Williams Mecachrome,29,1:26.479,240.197
8,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,40,1:26.656,239.706
9,5,Giancarlo FisichellaFIS,Benetton Playlife,41,1:26.659,239.698
10,9,Damon HillHIL,Jordan Mugen Honda,52,1:26.730,239.501
11,14,Jean AlesiALE,Sauber Petronas,52,1:26.840,239.198
12,6,Alexander WurzWUR,Benetton Playlife,24,1:27.620,237.069
13,21,Toranosuke TakagiTAK,Tyrrell Ford,46,1:27.726,236.782
14,18,Rubens BarrichelloBAR,Stewart Ford,46,1:27.770,236.664
15,17,Mika SaloSAL,Arrows,25,1:27.866,236.405
16,11,Olivier PanisPAN,Prost Peugeot,10,1:28.395,234.990
17,19,Jos VerstappenVER,Stewart Ford,32,1:28.583,234.491
18,15,Johnny HerbertHER,Sauber Petronas,10,1:29.092,233.152
19,23,Esteban TueroTUE,Minardi Ford,51,1:29.093,233.149
20,16,Pedro DinizDIN,Arrows,9,1:29.124,233.068
21,20,Ricardo RossetROS,Tyrrell Ford,50,1:29.393,232.367
22,22,Shinji NakanoNAK,Minardi Ford,13,1:29.853,231.177
