Pos,No,Driver,Car,Lap,Time,Avg speed
1,8,Mika HakkinenHAK,McLaren Mercedes,64,1:19.337,194.754
2,3,Michael SchumacherMSC,Ferrari,62,1:19.627,194.044
3,7,David CoulthardCOU,McLaren Mercedes,58,1:19.646,193.998
4,6,Alexander WurzWUR,Benetton Playlife,62,1:19.863,193.471
5,5,Giancarlo FisichellaFIS,Benetton Playlife,62,1:20.010,193.115
6,1,Jacques VilleneuveVIL,Williams Mecachrome,58,1:20.129,192.829
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,58,1:20.271,192.487
8,4,Eddie IrvineIRV,Ferrari,60,1:20.378,192.231
9,11,Olivier PanisPAN,Prost Peugeot,50,1:20.449,192.062
10,14,Jean AlesiALE,Sauber Petronas,63,1:20.623,191.647
11,19,Jan MagnussenMAG,Stewart Ford,26,1:20.991,190.776
12,9,Damon HillHIL,Jordan Mugen Honda,52,1:21.035,190.673
13,15,Johnny HerbertHER,Sauber Petronas,52,1:21.456,189.687
14,18,Rubens BarrichelloBAR,Stewart Ford,38,1:21.758,188.987
15,12,Jarno TrulliTRU,Prost Peugeot,9,1:22.933,186.309
16,16,Pedro DinizDIN,Arrows,17,1:22.969,186.228
17,21,Toranosuke TakagiTAK,Tyrrell Ford,19,1:23.226,185.653
18,23,Esteban TueroTUE,Minardi Ford,38,1:23.293,185.504
19,20,Ricardo RossetROS,Tyrrell Ford,24,1:23.342,185.395
20,17,Mika SaloSAL,Arrows,13,1:23.565,184.900
21,22,Shinji NakanoNAK,Minardi Ford,4,1:24.475,182.908
