Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Michael SchumacherMSC,Ferrari,19,1:40.190,210.703
2,8,Mika HakkinenHAK,McLaren Mercedes,35,1:40.426,210.208
3,4,Eddie IrvineIRV,Ferrari,36,1:40.870,209.283
4,7,David CoulthardCOU,McLaren Mercedes,42,1:40.905,209.210
5,1,Jacques VilleneuveVIL,Williams Mecachrome,40,1:42.273,206.412
6,9,Damon HillHIL,Jordan Mugen Honda,38,1:42.275,206.408
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,36,1:42.331,206.295
8,5,Giancarlo FisichellaFIS,Benetton Playlife,20,1:42.335,206.287
9,14,Jean AlesiALE,Sauber Petronas,31,1:42.357,206.242
10,15,Johnny HerbertHER,Sauber Petronas,38,1:42.858,205.238
11,10,Ralf SchumacherRSC,Jordan Mugen Honda,4,1:42.965,205.025
12,11,Olivier PanisPAN,Prost Peugeot,49,1:43.073,204.810
13,12,Jarno TrulliTRU,Prost Peugeot,42,1:43.164,204.629
14,6,Alexander WurzWUR,Benetton Playlife,18,1:43.447,204.069
15,22,Shinji NakanoNAK,Minardi Ford,37,1:44.158,202.676
16,18,Rubens BarrichelloBAR,Stewart Ford,8,1:44.947,201.152
17,17,Mika SaloSAL,Arrows,14,1:45.304,200.471
18,21,Toranosuke TakagiTAK,Tyrrell Ford,23,1:45.673,199.770
19,23,Esteban TueroTUE,Minardi Ford,21,1:45.792,199.546
20,19,Jos VerstappenVER,Stewart Ford,19,1:45.840,199.455
21,16,Pedro DinizDIN,Arrows,2,1:46.099,198.968
