Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Fernando AlonsoALO,Renault,21,1:21.599,226.811
2,5,Michael SchumacherMSC,Ferrari,53,1:21.934,225.884
3,2,Giancarlo FisichellaFIS,Renault,42,1:22.238,225.049
4,6,Felipe MassaMAS,Ferrari,43,1:22.371,224.685
5,3,Kimi RäikkönenRAI,McLaren Mercedes,15,1:22.461,224.440
6,16,Nick HeidfeldHEI,Sauber BMW,43,1:22.706,223.775
7,8,Jarno TrulliTRU,Toyota,19,1:22.744,223.673
8,4,Juan Pablo MontoyaMOY,McLaren Mercedes,38,1:22.780,223.575
9,10,Nico RosbergROS,Williams Cosworth,47,1:22.916,223.209
10,17,Jacques VilleneuveVIL,Sauber BMW,46,1:22.921,223.195
11,11,Rubens BarrichelloBAR,Honda,38,1:23.224,222.382
12,15,Christian KlienKLI,RBR Ferrari,30,1:23.712,221.086
13,19,Christijan AlbersALB,MF1 Toyota,27,1:23.977,220.388
14,14,David CoulthardCOU,RBR Ferrari,42,1:23.995,220.341
15,20,Vitantonio LiuzziLIU,STR Cosworth,25,1:24.221,219.750
16,18,Tiago MonteiroMON,MF1 Toyota,25,1:24.636,218.672
17,12,Jenson ButtonBUT,Honda,8,1:25.207,217.207
18,22,Takuma SatoSAT,Super Aguri Honda,23,1:26.520,213.911
19,23,Franck MontagnyMON,Super Aguri Honda,26,1:27.167,212.323
