Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Michael SchumacherMSC,Ferrari,56,1:12.719,207.527
2,6,Felipe MassaMAS,Ferrari,29,1:12.954,206.859
3,2,Giancarlo FisichellaFIS,Renault,28,1:13.131,206.358
4,7,Ralf SchumacherRSC,Toyota,29,1:13.225,206.093
5,8,Jarno TrulliTRU,Toyota,37,1:13.269,205.969
6,1,Fernando AlonsoALO,Renault,72,1:13.316,205.837
7,11,Rubens BarrichelloBAR,Honda,47,1:13.611,205.012
8,17,Jacques VilleneuveVIL,Sauber BMW,19,1:13.934,204.117
9,20,Vitantonio LiuzziLIU,STR Cosworth,41,1:14.286,203.149
10,10,Nico RosbergROS,Williams Cosworth,42,1:14.707,202.005
11,14,David CoulthardCOU,RBR Ferrari,33,1:14.730,201.942
12,19,Christijan AlbersALB,MF1 Toyota,34,1:14.731,201.940
13,18,Tiago MonteiroMON,MF1 Toyota,9,1:22.036,183.958
14,22,Takuma SatoSAT,Super Aguri Honda,6,1:43.802,145.384
15,12,Jenson ButtonBUT,Honda,2,2:04.692,121.027
