Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Felipe MassaMAS,Ferrari,42,1:16.648,217.320
2,1,Fernando AlonsoALO,Renault,39,1:16.723,217.108
3,5,Michael SchumacherMSC,Ferrari,43,1:16.922,216.546
4,2,Giancarlo FisichellaFIS,Renault,38,1:17.083,216.094
5,3,Kimi RäikkönenRAI,McLaren Mercedes,40,1:17.357,215.328
6,12,Jenson ButtonBUT,Honda,40,1:17.367,215.301
7,11,Rubens BarrichelloBAR,Honda,40,1:17.399,215.212
8,10,Nico RosbergROS,Williams Cosworth,51,1:17.861,213.935
9,14,David CoulthardCOU,RBR Ferrari,55,1:17.862,213.932
10,16,Nick HeidfeldHEI,Sauber BMW,49,1:17.869,213.913
11,9,Mark WebberWEB,Williams Cosworth,61,1:17.900,213.827
12,17,Jacques VilleneuveVIL,Sauber BMW,62,1:18.050,213.417
13,8,Jarno TrulliTRU,Toyota,42,1:18.465,212.288
14,20,Vitantonio LiuzziLIU,STR Cosworth,52,1:18.488,212.226
15,15,Christian KlienKLI,RBR Ferrari,59,1:18.516,212.150
16,21,Scott SpeedSPE,STR Cosworth,41,1:18.541,212.082
17,7,Ralf SchumacherRSC,Toyota,24,1:18.621,211.867
18,18,Tiago MonteiroMON,MF1 Toyota,28,1:19.265,210.145
19,4,Juan Pablo MontoyaMOY,McLaren Mercedes,17,1:19.482,209.571
20,19,Christijan AlbersALB,MF1 Toyota,28,1:19.532,209.440
21,22,Takuma SatoSAT,Super Aguri Honda,42,1:20.411,207.150
22,23,Franck MontagnyMON,Super Aguri Honda,9,1:22.389,202.177
