Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Kimi RäikkönenRAI,McLaren Mercedes,22,1:15.841,207.006
2,1,Fernando AlonsoALO,Renault,22,1:15.911,206.815
3,5,Michael SchumacherMSC,Ferrari,68,1:15.993,206.592
4,2,Giancarlo FisichellaFIS,Renault,49,1:16.669,204.771
5,6,Felipe MassaMAS,Ferrari,31,1:17.308,203.078
6,17,Jacques VilleneuveVIL,Sauber BMW,29,1:17.394,202.852
7,16,Nick HeidfeldHEI,Sauber BMW,52,1:17.454,202.695
8,8,Jarno TrulliTRU,Toyota,15,1:17.503,202.567
9,15,Christian KlienKLI,RBR Ferrari,55,1:17.576,202.377
10,14,David CoulthardCOU,RBR Ferrari,39,1:17.619,202.264
11,9,Mark WebberWEB,Williams Cosworth,17,1:17.705,202.041
12,21,Scott SpeedSPE,STR Cosworth,52,1:17.720,202.002
13,12,Jenson ButtonBUT,Honda,21,1:18.001,201.274
14,20,Vitantonio LiuzziLIU,STR Cosworth,50,1:18.078,201.075
15,4,Juan Pablo MontoyaMOY,McLaren Mercedes,5,1:18.493,200.012
16,7,Ralf SchumacherRSC,Toyota,19,1:18.793,199.251
17,11,Rubens BarrichelloBAR,Honda,10,1:19.286,198.012
18,18,Tiago MonteiroMON,MF1 Toyota,5,1:19.291,197.999
19,22,Takuma SatoSAT,Super Aguri Honda,40,1:20.490,195.050
20,23,Franck MontagnyMON,Super Aguri Honda,2,2:07.709,122.932
