Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Kimi RäikkönenRAI,McLaren Mercedes,13,1:22.559,252.604
2,5,Michael SchumacherMSC,Ferrari,14,1:22.575,252.555
3,6,Felipe MassaMAS,Ferrari,41,1:23.003,251.253
4,17,Robert KubicaKUB,Sauber BMW,21,1:23.111,250.927
5,1,Fernando AlonsoALO,Renault,38,1:23.121,250.896
6,16,Nick HeidfeldHEI,Sauber BMW,20,1:23.294,250.375
7,12,Jenson ButtonBUT,Honda,51,1:23.518,249.704
8,2,Giancarlo FisichellaFIS,Renault,25,1:23.617,249.408
9,4,Pedro de la RosaDLR,McLaren Mercedes,8,1:23.702,249.155
10,11,Rubens BarrichelloBAR,Honda,27,1:23.794,248.881
11,8,Jarno TrulliTRU,Toyota,25,1:23.869,248.659
12,9,Mark WebberWEB,Williams Cosworth,27,1:24.197,247.690
13,15,Christian KlienKLI,RBR Ferrari,37,1:24.571,246.595
14,20,Vitantonio LiuzziLIU,STR Cosworth,52,1:24.764,246.033
15,18,Tiago MonteiroMON,MF1 Toyota,27,1:24.822,245.865
16,7,Ralf SchumacherRSC,Toyota,41,1:24.837,245.821
17,14,David CoulthardCOU,RBR Ferrari,51,1:24.984,245.396
18,21,Scott SpeedSPE,STR Cosworth,50,1:25.094,245.079
19,10,Nico RosbergROS,Williams Cosworth,8,1:25.362,244.310
20,19,Christijan AlbersALB,MF1 Toyota,17,1:25.494,243.932
21,22,Takuma SatoSAT,Super Aguri Honda,15,1:25.676,243.414
22,23,Sakon YamamotoYAM,Super Aguri Honda,15,1:26.548,240.962
