Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Michael SchumacherMSC,Ferrari,17,1:16.357,215.650
2,6,Felipe MassaMAS,Ferrari,18,1:16.392,215.551
3,3,Kimi RäikkönenRAI,McLaren Mercedes,4,1:16.475,215.317
4,7,Ralf SchumacherRSC,Toyota,64,1:16.763,214.509
5,8,Jarno TrulliTRU,Toyota,48,1:16.807,214.386
6,9,Mark WebberWEB,Williams Cosworth,43,1:16.812,214.372
7,12,Jenson ButtonBUT,Honda,14,1:16.818,214.356
8,2,Giancarlo FisichellaFIS,Renault,18,1:16.981,213.902
9,1,Fernando AlonsoALO,Renault,66,1:17.256,213.140
10,20,Vitantonio LiuzziLIU,STR Cosworth,51,1:17.407,212.724
11,21,Scott SpeedSPE,STR Cosworth,50,1:17.450,212.606
12,15,Christian KlienKLI,RBR Ferrari,49,1:17.719,211.870
13,14,David CoulthardCOU,RBR Ferrari,24,1:17.811,211.620
14,11,Rubens BarrichelloBAR,Honda,16,1:18.029,211.029
15,19,Christijan AlbersALB,MF1 Toyota,35,1:18.247,210.441
16,18,Tiago MonteiroMON,MF1 Toyota,46,1:18.718,209.182
17,17,Jacques VilleneuveVIL,Sauber BMW,29,1:18.904,208.689
18,16,Nick HeidfeldHEI,Sauber BMW,3,1:19.264,207.741
19,22,Takuma SatoSAT,Super Aguri Honda,26,1:19.413,207.351
20,4,Pedro de la RosaDLR,McLaren Mercedes,2,1:19.649,206.737
