Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Michael SchumacherMSC,Ferrari,55,1:28.005,218.360
2,6,Felipe MassaMAS,Ferrari,38,1:28.123,218.067
3,1,Fernando AlonsoALO,Renault,38,1:28.245,217.766
4,12,Jenson ButtonBUT,Honda,58,1:28.474,217.202
5,2,Giancarlo FisichellaFIS,Renault,29,1:28.546,217.026
6,11,Rubens BarrichelloBAR,Honda,26,1:28.733,216.568
7,4,Pedro de la RosaDLR,McLaren Mercedes,54,1:28.959,216.018
8,7,Ralf SchumacherRSC,Toyota,58,1:29.084,215.715
9,17,Robert KubicaKUB,Sauber BMW,34,1:29.723,214.179
10,21,Scott SpeedSPE,STR Cosworth,43,1:29.933,213.679
11,15,Christian KlienKLI,RBR Ferrari,26,1:30.025,213.460
12,14,David CoulthardCOU,RBR Ferrari,24,1:30.026,213.458
13,8,Jarno TrulliTRU,Toyota,24,1:30.048,213.406
14,10,Nico RosbergROS,Williams Cosworth,21,1:30.071,213.351
15,9,Mark WebberWEB,Williams Cosworth,50,1:30.088,213.311
16,16,Nick HeidfeldHEI,Sauber BMW,56,1:30.335,212.728
17,19,Christijan AlbersALB,MF1 Toyota,35,1:30.403,212.568
18,22,Takuma SatoSAT,Super Aguri Honda,33,1:31.814,209.301
19,20,Vitantonio LiuzziLIU,STR Cosworth,12,1:32.148,208.542
20,23,Sakon YamamotoYAM,Super Aguri Honda,12,1:32.337,208.115
