Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,4,Lando NorrisNOR,McLaren Mercedes,39,16:09:38,1:37.423,216.096
2,44,Lewis HamiltonHAM,Mercedes,43,16:16:10,1:37.575,215.760
3,77,Valtteri BottasBOT,Mercedes,31,15:57:00,1:38.216,214.352
4,10,Pierre GaslyGAS,AlphaTauri Honda,35,16:03:46,1:38.279,214.214
5,33,Max VerstappenVER,Red Bull Racing Honda,28,15:51:45,1:38.396,213.959
6,14,Fernando AlonsoALO,Alpine Renault,44,16:18:28,1:38.686,213.331
7,16,Charles LeclercLEC,Ferrari,45,16:20:14,1:38.994,212.667
8,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,39,16:10:55,1:39.058,212.530
9,3,Daniel RicciardoRIC,McLaren Mercedes,24,15:45:03,1:39.124,212.388
10,11,Sergio PerezPER,Red Bull Racing Honda,45,16:20:03,1:39.215,212.193
11,5,Sebastian VettelVET,Aston Martin Mercedes,44,16:18:43,1:39.251,212.116
12,55,Carlos SainzSAI,Ferrari,40,16:11:42,1:39.294,212.024
13,22,Yuki TsunodaTSU,AlphaTauri Honda,42,16:15:49,1:39.960,210.612
14,6,Nicholas LatifiLAT,Williams Mercedes,42,16:15:44,1:40.000,210.528
15,47,Mick SchumacherMSC,Haas Ferrari,22,15:42:27,1:40.276,209.948
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,34,16:01:56,1:40.289,209.921
17,18,Lance StrollSTR,Aston Martin Mercedes,35,16:03:28,1:40.464,209.555
18,63,George RussellRUS,Williams Mercedes,40,16:11:57,1:40.596,209.280
19,31,Esteban OconOCO,Alpine Renault,34,16:01:54,1:40.598,209.276
20,9,Nikita MazepinMAZ,Haas Ferrari,24,15:45:43,1:41.713,206.982
