Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,10,Pierre GaslyGAS,AlphaTauri Honda,70,17:08:59,1:18.394,201.183
2,44,Lewis HamiltonHAM,Mercedes,49,16:39:39,1:18.715,200.363
3,14,Fernando AlonsoALO,Alpine Renault,41,16:28:37,1:20.359,196.264
4,33,Max VerstappenVER,Red Bull Racing Honda,43,16:32:12,1:20.945,194.843
5,31,Esteban OconOCO,Alpine Renault,54,16:46:08,1:21.421,193.704
6,55,Carlos SainzSAI,Ferrari,54,16:46:15,1:21.423,193.699
7,5,Sebastian VettelVET,Aston Martin Mercedes,60,16:54:19,1:21.459,193.613
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,58,16:53:08,1:21.518,193.473
9,63,George RussellRUS,Williams Mercedes,62,16:58:15,1:22.112,192.074
10,22,Yuki TsunodaTSU,AlphaTauri Honda,43,16:31:33,1:22.450,191.286
11,47,Mick SchumacherMSC,Haas Ferrari,44,16:33:45,1:22.711,190.683
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,44,16:33:46,1:22.736,190.625
13,3,Daniel RicciardoRIC,McLaren Mercedes,58,16:52:47,1:22.802,190.473
14,6,Nicholas LatifiLAT,Williams Mercedes,62,16:58:03,1:22.831,190.406
