Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,71,16:26:00,1:07.058,231.811
2,11,Sergio PerezPER,Red Bull Racing Honda,57,16:10:10,1:07.894,228.956
3,33,Max VerstappenVER,Red Bull Racing Honda,68,16:21:55,1:08.017,228.542
4,55,Carlos SainzSAI,Ferrari,64,16:18:42,1:08.609,226.570
5,77,Valtteri BottasBOT,Mercedes,43,15:53:42,1:08.619,226.537
6,16,Charles LeclercLEC,Ferrari,64,16:18:55,1:08.738,226.145
7,4,Lando NorrisNOR,McLaren Mercedes,65,16:19:43,1:08.903,225.604
8,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,57,16:11:00,1:09.128,224.869
9,3,Daniel RicciardoRIC,McLaren Mercedes,45,15:57:05,1:09.305,224.295
10,31,Esteban OconOCO,Alpine Renault,70,16:26:16,1:09.576,223.421
11,22,Yuki TsunodaTSU,AlphaTauri Honda,41,15:52:10,1:09.650,223.184
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,39,15:49:58,1:09.723,222.950
13,14,Fernando AlonsoALO,Alpine Renault,61,16:15:34,1:09.749,222.867
14,18,Lance StrollSTR,Aston Martin Mercedes,32,15:41:35,1:09.787,222.746
15,5,Sebastian VettelVET,Aston Martin Mercedes,64,16:19:08,1:09.821,222.637
16,47,Mick SchumacherMSC,Haas Ferrari,57,16:11:56,1:10.005,222.052
17,6,Nicholas LatifiLAT,Williams Mercedes,34,15:45:13,1:10.104,221.739
18,63,George RussellRUS,Williams Mercedes,28,15:37:55,1:10.499,220.496
19,9,Nikita MazepinMAZ,Haas Ferrari,39,15:50:34,1:10.951,219.092
