Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing Honda,35,16:01:43,1:36.404,218.156
2,11,Sergio PerezPER,Red Bull Racing Honda,53,16:31:00,1:36.693,217.504
3,77,Valtteri BottasBOT,Mercedes,19,15:35:21,1:36.960,216.905
4,5,Sebastian VettelVET,Aston Martin Mercedes,52,16:30:34,1:37.138,216.508
5,44,Lewis HamiltonHAM,Mercedes,44,16:16:11,1:37.410,215.903
6,4,Lando NorrisNOR,McLaren Mercedes,52,16:30:18,1:37.425,215.870
7,14,Fernando AlonsoALO,Alpine Renault,44,16:17:23,1:37.646,215.382
8,16,Charles LeclercLEC,Ferrari,43,16:16:13,1:37.681,215.304
9,18,Lance StrollSTR,Aston Martin Mercedes,44,16:17:38,1:37.828,214.981
10,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,46,16:21:16,1:37.992,214.621
11,10,Pierre GaslyGAS,AlphaTauri Honda,44,16:17:21,1:38.103,214.378
12,6,Nicholas LatifiLAT,Williams Mercedes,50,16:27:58,1:38.313,213.920
13,63,George RussellRUS,Williams Mercedes,52,16:31:00,1:38.314,213.918
14,3,Daniel RicciardoRIC,McLaren Mercedes,45,16:18:56,1:38.324,213.896
15,31,Esteban OconOCO,Alpine Renault,33,15:59:36,1:38.645,213.200
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,36,16:04:36,1:38.702,213.077
17,47,Mick SchumacherMSC,Haas Ferrari,51,16:30:07,1:38.847,212.765
18,55,Carlos SainzSAI,Ferrari,19,15:35:52,1:38.931,212.584
19,22,Yuki TsunodaTSU,AlphaTauri Honda,18,15:34:24,1:38.980,212.479
20,9,Nikita MazepinMAZ,Haas Ferrari,34,16:01:54,1:39.317,211.758
