Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,47,22:35:18,1:30.734,244.962
2,77,Valtteri BottasBOT,Mercedes,47,22:35:49,1:31.408,243.155
3,33,Max VerstappenVER,Red Bull Racing Honda,35,22:16:43,1:31.488,242.943
4,16,Charles LeclercLEC,Ferrari,46,22:34:33,1:31.601,242.643
5,14,Fernando AlonsoALO,Alpine Renault,46,22:35:40,1:31.633,242.558
6,31,Esteban OconOCO,Alpine Renault,47,22:35:49,1:31.797,242.125
7,55,Carlos SainzSAI,Ferrari,37,22:20:44,1:31.851,241.983
8,4,Lando NorrisNOR,McLaren Mercedes,49,22:39:29,1:31.914,241.817
9,10,Pierre GaslyGAS,AlphaTauri Honda,46,22:34:30,1:32.297,240.813
10,22,Yuki TsunodaTSU,AlphaTauri Honda,44,22:32:38,1:32.506,240.269
11,3,Daniel RicciardoRIC,McLaren Mercedes,43,22:29:48,1:32.716,239.725
12,6,Nicholas LatifiLAT,Williams Mercedes,49,22:39:49,1:32.751,239.635
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,45,22:34:16,1:32.778,239.565
14,18,Lance StrollSTR,Aston Martin Mercedes,45,22:33:30,1:32.804,239.498
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,37,22:20:43,1:32.865,239.340
16,5,Sebastian VettelVET,Aston Martin Mercedes,41,22:27:33,1:34.030,236.375
17,11,Sergio PerezPER,Red Bull Racing Honda,9,20:48:00,1:34.138,236.104
18,47,Mick SchumacherMSC,Haas Ferrari,8,20:46:53,1:36.043,231.421
19,63,George RussellRUS,Williams Mercedes,7,20:45:15,1:36.130,231.211
20,9,Nikita MazepinMAZ,Haas Ferrari,7,20:45:21,1:37.043,229.036
