Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing Honda,62,16:16:38,1:06.200,234.815
2,55,Carlos SainzSAI,Ferrari,70,16:26:38,1:07.762,229.402
3,44,Lewis HamiltonHAM,Mercedes,55,16:09:09,1:08.126,228.177
4,10,Pierre GaslyGAS,AlphaTauri Honda,54,16:08:26,1:08.146,228.110
5,11,Sergio PerezPER,Red Bull Racing Honda,55,16:09:20,1:08.192,227.956
6,77,Valtteri BottasBOT,Mercedes,52,16:05:20,1:08.374,227.349
7,14,Fernando AlonsoALO,Alpine Renault,70,16:27:01,1:08.405,227.246
8,5,Sebastian VettelVET,Aston Martin Mercedes,51,16:05:16,1:08.420,227.196
9,22,Yuki TsunodaTSU,AlphaTauri Honda,54,16:08:50,1:08.455,227.080
10,4,Lando NorrisNOR,McLaren Mercedes,62,16:16:49,1:08.471,227.027
11,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,62,16:17:50,1:08.520,226.865
12,18,Lance StrollSTR,Aston Martin Mercedes,54,16:08:53,1:08.659,226.405
13,16,Charles LeclercLEC,Ferrari,55,16:09:23,1:08.698,226.277
14,3,Daniel RicciardoRIC,McLaren Mercedes,56,16:10:31,1:08.820,225.876
15,6,Nicholas LatifiLAT,Williams Mercedes,69,16:26:23,1:08.874,225.699
16,63,George RussellRUS,Williams Mercedes,56,16:10:49,1:08.900,225.613
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,55,16:10:06,1:09.042,225.149
18,47,Mick SchumacherMSC,Haas Ferrari,56,16:11:32,1:09.394,224.007
19,9,Nikita MazepinMAZ,Haas Ferrari,49,16:04:03,1:09.757,222.842
