Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,33,Max VerstappenVER,Red Bull Racing Honda,39,18:02:08,1:26.103,220.800
2,11,Sergio PerezPER,Red Bull Racing Honda,51,18:19:56,1:26.419,219.993
3,44,Lewis HamiltonHAM,Mercedes,43,18:07:40,1:26.615,219.495
4,4,Lando NorrisNOR,McLaren Mercedes,58,18:34:38,1:26.762,219.123
5,77,Valtteri BottasBOT,Mercedes,51,18:20:28,1:26.862,218.871
6,10,Pierre GaslyGAS,AlphaTauri Honda,49,18:17:43,1:27.342,217.668
7,22,Yuki TsunodaTSU,AlphaTauri Honda,50,18:19:08,1:27.496,217.285
8,14,Fernando AlonsoALO,Alpine Renault,58,18:34:40,1:27.607,217.010
9,55,Carlos SainzSAI,Ferrari,51,18:20:24,1:27.618,216.982
10,31,Esteban OconOCO,Alpine Renault,58,18:34:43,1:28.249,215.431
11,5,Sebastian VettelVET,Aston Martin Mercedes,58,18:34:46,1:28.303,215.299
12,16,Charles LeclercLEC,Ferrari,40,18:04:37,1:28.433,214.983
13,18,Lance StrollSTR,Aston Martin Mercedes,48,18:16:44,1:28.567,214.657
14,3,Daniel RicciardoRIC,McLaren Mercedes,48,18:16:28,1:28.723,214.280
15,6,Nicholas LatifiLAT,Williams Mercedes,30,17:49:38,1:29.293,212.912
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,33,17:53:42,1:29.442,212.557
17,47,Mick SchumacherMSC,Haas Ferrari,42,18:08:15,1:29.457,212.522
18,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,23,17:38:51,1:29.698,211.951
19,63,George RussellRUS,Williams Mercedes,23,17:38:42,1:30.647,209.732
