Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,60,17:02:16,1:16.702,230.403
2,33,Max VerstappenVER,Red Bull Racing Honda,60,17:01:56,1:17.524,227.960
3,4,Lando NorrisNOR,McLaren Mercedes,63,17:06:13,1:18.259,225.819
4,11,Sergio PerezPER,Red Bull Racing Honda,49,16:48:23,1:18.334,225.603
5,22,Yuki TsunodaTSU,AlphaTauri Honda,62,17:05:40,1:18.353,225.548
6,16,Charles LeclercLEC,Ferrari,60,17:02:20,1:18.379,225.473
7,55,Carlos SainzSAI,Ferrari,60,17:02:21,1:18.490,225.154
8,10,Pierre GaslyGAS,AlphaTauri Honda,59,17:01:24,1:18.782,224.320
9,18,Lance StrollSTR,Aston Martin Mercedes,52,16:52:07,1:18.994,223.718
10,5,Sebastian VettelVET,Aston Martin Mercedes,59,17:01:48,1:19.074,223.491
11,47,Mick SchumacherMSC,Haas Ferrari,58,17:01:50,1:19.193,223.156
12,3,Daniel RicciardoRIC,McLaren Mercedes,54,16:54:44,1:19.341,222.739
13,14,Fernando AlonsoALO,Alpine Renault,62,17:05:37,1:19.396,222.585
14,31,Esteban OconOCO,Alpine Renault,62,17:05:36,1:19.417,222.526
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,62,17:05:35,1:19.422,222.512
16,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,57,16:59:24,1:19.470,222.378
17,9,Nikita MazepinMAZ,Haas Ferrari,55,16:58:32,1:20.402,219.800
18,63,George RussellRUS,Williams Mercedes,28,15:51:18,1:26.543,204.203
19,77,Valtteri BottasBOT,Mercedes,30,15:54:14,1:28.485,199.721
