Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,11,Sergio PerezPER,Red Bull Racing Honda,71,15:35:54,1:11.010,218.453
2,44,Lewis HamiltonHAM,Mercedes,46,15:04:49,1:11.982,215.503
3,33,Max VerstappenVER,Red Bull Racing Honda,47,15:06:01,1:12.486,214.005
4,77,Valtteri BottasBOT,Mercedes,49,15:08:35,1:12.526,213.887
5,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,54,15:16:04,1:12.621,213.607
6,55,Carlos SainzSAI,Ferrari,63,15:26:21,1:12.710,213.346
7,16,Charles LeclercLEC,Ferrari,61,15:23:51,1:12.822,213.018
8,10,Pierre GaslyGAS,AlphaTauri Honda,53,15:14:14,1:13.227,211.839
9,5,Sebastian VettelVET,Aston Martin Mercedes,69,15:34:25,1:13.634,210.668
10,4,Lando NorrisNOR,McLaren Mercedes,53,15:14:28,1:13.761,210.306
11,47,Mick SchumacherMSC,Haas Ferrari,66,15:32:43,1:13.793,210.215
12,14,Fernando AlonsoALO,Alpine Renault,37,14:54:19,1:13.922,209.848
13,22,Yuki TsunodaTSU,AlphaTauri Honda,62,15:26:16,1:14.204,209.050
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,44,15:03:40,1:14.227,208.985
15,63,George RussellRUS,Williams Mercedes,45,15:04:53,1:14.355,208.626
16,31,Esteban OconOCO,Alpine Renault,48,15:07:56,1:14.430,208.415
17,3,Daniel RicciardoRIC,McLaren Mercedes,40,14:57:47,1:14.443,208.379
18,6,Nicholas LatifiLAT,Williams Mercedes,57,15:20:07,1:14.616,207.896
19,9,Nikita MazepinMAZ,Haas Ferrari,36,14:53:48,1:14.954,206.958
20,18,Lance StrollSTR,Aston Martin Mercedes,25,14:38:59,1:15.344,205.887
