Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,RBR Renault,1:24.774,1:24.096,1:23.919,19
2,6,Mark WebberWEB,RBR Renault,1:25.286,1:24.276,1:24.035,20
3,8,Fernando AlonsoALO,Ferrari,1:25.082,1:24.335,1:24.111,22
4,1,Jenson ButtonBUT,McLaren Mercedes,1:24.897,1:24.531,1:24.675,19
5,7,Felipe MassaMAS,Ferrari,1:25.548,1:25.010,1:24.837,24
6,4,Nico RosbergROS,Mercedes,1:24.788,1:24.788,1:24.884,26
7,3,Michael SchumacherMSC,Mercedes,1:25.351,1:24.871,1:24.927,24
8,9,Rubens BarrichelloBAR,Williams Cosworth,1:25.702,1:25.085,1:25.217,20
9,11,Robert KubicaKUB,Renault,1:25.588,1:25.122,1:25.372,23
10,14,Adrian SutilSUT,Force India Mercedes,1:25.504,1:25.046,1:26.036,24
11,2,Lewis HamiltonHAM,McLaren Mercedes,1:25.046,1:25.184,,13
12,16,Sebastien BuemiBUE,STR Ferrari,1:26.061,1:25.638,,17
13,15,Vitantonio LiuzziLIU,Force India Mercedes,1:26.170,1:25.743,,19
14,22,Pedro de la RosaDLR,Sauber Ferrari,1:26.089,1:25.747,,15
15,10,Nico HulkenbergHUL,Williams Cosworth,1:25.866,1:25.748,,17
16,23,Kamui KobayashiKOB,Sauber Ferrari,1:26.251,1:25.777,,16
17,17,Jaime AlguersuariALG,STR Ferrari,1:26.095,1:26.089,,16
18,12,Vitaly PetrovPET,Renault,1:26.471,,,10
19,19,Heikki KovalainenKOV,Lotus Cosworth,1:28.797,,,9
20,18,Jarno TrulliTRU,Lotus Cosworth,1:29.111,,,8
21,24,Timo GlockGLO,Virgin Cosworth,1:29.592,,,8
22,25,Lucas di GrassiDIG,Virgin Cosworth,1:30.185,,,8
23,21,Bruno SennaSEN,HRT Cosworth,1:30.526,,,10
24,20,Karun ChandhokCHD,HRT Cosworth,1:30.613,,,10
