Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,RBR Renault,1:15.152,1:14.249,1:13.791,22
2,8,Fernando AlonsoALO,Ferrari,1:14.808,1:14.081,1:13.793,22
3,7,Felipe MassaMAS,Ferrari,1:15.216,1:14.478,1:14.290,24
4,6,Mark WebberWEB,RBR Renault,1:15.334,1:14.340,1:14.347,25
5,1,Jenson ButtonBUT,McLaren Mercedes,1:15.823,1:14.716,1:14.427,23
6,2,Lewis HamiltonHAM,McLaren Mercedes,1:15.505,1:14.488,1:14.566,20
7,11,Robert KubicaKUB,Renault,1:15.736,1:14.835,1:15.079,23
8,9,Rubens BarrichelloBAR,Williams Cosworth,1:16.398,1:14.698,1:15.109,25
9,4,Nico RosbergROS,Mercedes,1:16.178,1:15.018,1:15.179,25
10,10,Nico HulkenbergHUL,Williams Cosworth,1:16.387,1:14.943,1:15.339,22
11,3,Michael SchumacherMSC,Mercedes,1:16.084,1:15.026,,18
12,23,Kamui KobayashiKOB,Sauber Ferrari,1:15.951,1:15.084,,12
13,12,Vitaly PetrovPET,Renault,1:16.521,1:15.307,,17
14,14,Adrian SutilSUT,Force India Mercedes,1:16.220,1:15.467,,16
15,22,Pedro de la RosaDLR,Sauber Ferrari,1:16.450,1:15.550,,11
16,17,Jaime AlguersuariALG,STR Ferrari,1:16.664,1:15.588,,14
17,16,Sebastien BuemiBUE,STR Ferrari,1:16.029,1:15.974,,15
18,18,Jarno TrulliTRU,Lotus Cosworth,1:17.583,,,12
19,19,Heikki KovalainenKOV,Lotus Cosworth,1:18.300,,,11
20,24,Timo GlockGLO,Virgin Cosworth,1:18.343,,,6
21,21,Bruno SennaSEN,HRT Cosworth,1:18.592,,,10
22,15,Vitantonio LiuzziLIU,Force India Mercedes,1:18.952,,,3
23,20,Sakon YamamotoYAM,HRT Cosworth,1:19.844,,,11
24,25,Lucas di GrassiDIG,Virgin Cosworth,DNS,,,1
