Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,2,Lewis HamiltonHAM,McLaren Mercedes,1:15.889,1:15.528,1:15.105,20
2,6,Mark WebberWEB,RBR Renault,1:16.423,1:15.692,1:15.373,21
3,5,Sebastian VettelVET,RBR Renault,1:16.129,1:15.556,1:15.420,24
4,8,Fernando AlonsoALO,Ferrari,1:16.171,1:15.597,1:15.435,24
5,1,Jenson ButtonBUT,McLaren Mercedes,1:16.371,1:15.742,1:15.520,24
6,15,Vitantonio LiuzziLIU,Force India Mercedes,1:17.086,1:16.171,1:15.648,22
7,7,Felipe MassaMAS,Ferrari,1:16.673,1:16.314,1:15.688,23
8,11,Robert KubicaKUB,Renault,1:16.370,1:15.682,1:15.715,21
9,14,Adrian SutilSUT,Force India Mercedes,1:16.495,1:16.295,1:15.881,21
10,4,Nico RosbergROS,Mercedes,1:16.350,1:16.001,1:16.071,20
11,9,Rubens BarrichelloBAR,Williams Cosworth,1:16.880,1:16.434,,22
12,10,Nico HulkenbergHUL,Williams Cosworth,1:16.770,1:16.438,,20
13,3,Michael SchumacherMSC,Mercedes,1:16.598,1:16.492,,16
14,12,Vitaly PetrovPET,Renault,1:16.569,1:16.844,,21
15,16,Sebastien BuemiBUE,STR Ferrari,1:17.356,1:16.928,,16
16,17,Jaime AlguersuariALG,STR Ferrari,1:17.027,1:17.029,,17
17,22,Pedro de la RosaDLR,Sauber Ferrari,1:17.611,1:17.384,,19
18,23,Kamui KobayashiKOB,Sauber Ferrari,1:18.019,,,10
19,19,Heikki KovalainenKOV,Lotus Cosworth,1:18.237,,,12
20,18,Jarno TrulliTRU,Lotus Cosworth,1:18.698,,,11
21,24,Timo GlockGLO,Virgin Cosworth,1:18.941,,,12
22,21,Bruno SennaSEN,HRT Cosworth,1:19.484,,,10
23,25,Lucas di GrassiDIG,Virgin Cosworth,1:19.675,,,12
24,20,Karun ChandhokCHD,HRT Cosworth,1:27.757,,,3
