Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Mark WebberWEB,RBR Renault,1:21.412,1:20.655,1:19.995,18
2,5,Sebastian VettelVET,RBR Renault,1:21.680,1:20.772,1:20.101,20
3,2,Lewis HamiltonHAM,McLaren Mercedes,1:21.723,1:21.415,1:20.829,17
4,8,Fernando AlonsoALO,Ferrari,1:21.957,1:21.549,1:20.937,23
5,1,Jenson ButtonBUT,McLaren Mercedes,1:21.915,1:21.168,1:20.991,18
6,3,Michael SchumacherMSC,Mercedes,1:22.528,1:21.557,1:21.294,18
7,11,Robert KubicaKUB,Renault,1:22.488,1:21.599,1:21.353,16
8,4,Nico RosbergROS,Mercedes,1:22.419,1:21.867,1:21.408,22
9,7,Felipe MassaMAS,Ferrari,1:22.564,1:21.841,1:21.585,24
10,23,Kamui KobayashiKOB,Sauber Ferrari,1:22.577,1:21.725,1:21.984,20
11,14,Adrian SutilSUT,Force India Mercedes,1:22.628,1:21.985,,17
12,22,Pedro de la RosaDLR,Sauber Ferrari,1:22.211,1:22.026,,17
13,10,Nico HulkenbergHUL,Williams Cosworth,1:22.857,1:22.131,,14
14,12,Vitaly PetrovPET,Renault,1:22.976,1:22.139,,14
15,16,Sebastien BuemiBUE,STR Ferrari,1:22.699,1:22.191,,16
16,17,Jaime AlguersuariALG,STR Ferrari,1:22.593,1:22.207,,15
17,15,Vitantonio LiuzziLIU,Force India Mercedes,1:23.084,1:22.854,,18
18,9,Rubens BarrichelloBAR,Williams Cosworth,1:23.125,,,9
19,18,Jarno TrulliTRU,Lotus Cosworth,1:24.674,,,10
20,19,Heikki KovalainenKOV,Lotus Cosworth,1:24.748,,,10
21,24,Timo GlockGLO,Virgin Cosworth,1:25.475,,,8
22,25,Lucas di GrassiDIG,Virgin Cosworth,1:25.556,,,7
23,20,Karun ChandhokCHD,HRT Cosworth,1:26.750,,,8
24,21,Bruno SennaSEN,HRT Cosworth,1:27.122,,,9
