Pos,No,Driver,Car,Time,Gap,Laps
1,3,Felipe MassaMAS,Ferrari,1:27.983,,26
2,9,Jarno TrulliTRU,Toyota,1:28.022,+0.039s,21
3,10,Timo GlockGLO,Toyota,1:28.094,+0.111s,23
4,17,Kazuki NakajimaNAK,Williams Toyota,1:28.122,+0.139s,19
5,5,Robert KubicaKUB,Sauber BMW,1:28.320,+0.337s,20
6,23,Rubens BarrichelloBAR,Brawn Mercedes,1:28.332,+0.349s,21
7,22,Jenson ButtonBUT,Brawn Mercedes,1:28.360,+0.377s,19
8,16,Nico RosbergROS,Williams Toyota,1:28.364,+0.381s,19
9,4,Kimi RäikkönenRAI,Ferrari,1:28.415,+0.432s,16
10,15,Sebastian VettelVET,RBR Renault,1:28.451,+0.468s,18
11,8,Nelson PiquetPIQ,Renault,1:28.503,+0.520s,15
12,1,Lewis HamiltonHAM,McLaren Mercedes,1:28.563,+0.580s,19
13,14,Mark WebberWEB,RBR Renault,1:28.678,+0.695s,18
14,6,Nick HeidfeldHEI,Sauber BMW,1:28.715,+0.732s,19
15,2,Heikki KovalainenKOV,McLaren Mercedes,1:28.738,+0.755s,19
16,20,Adrian SutilSUT,Force India Mercedes,1:29.050,+1.067s,18
17,11,Sebastien BourdaisBOU,STR Ferrari,1:29.076,+1.093s,19
18,12,Sebastien BuemiBUE,STR Ferrari,1:29.167,+1.184s,21
19,7,Fernando AlonsoALO,Renault,1:29.261,+1.278s,15
20,21,Giancarlo FisichellaFIS,Force India Mercedes,1:29.421,+1.438s,17
