POS.,NO.,DRIVER,TEAM,TIME
1,1,Max VerstappenVER,Red Bull Racing,1:24.892
2,81,Oscar PiastriPIA,McLaren,1:24.995
3,4,Lando NorrisNOR,McLaren,1:25.010
4,63,George RussellRUS,Mercedes,1:25.029
5,44,Lewis HamiltonHAM,Ferrari,1:25.095
6,16,Charles LeclercLEC,Ferrari,1:25.121
7,14,Fernando AlonsoALO,Aston Martin,1:25.621
8,10,Pierre GaslyGAS,Alpine,1:25.785
9,55,Carlos SainzSAI,Williams,1:25.746
10,12,Kimi AntonelliANT,Mercedes,1:25.374
11,22,Yuki TsunodaTSU,Red Bull Racing,1:25.826
12,6,Isack HadjarHAD,Racing Bulls,1:25.864
13,23,Alexander AlbonALB,Williams,1:25.889
14,31,Esteban OconOCO,Haas,1:25.950
15,30,Liam LawsonLAW,Racing Bulls,1:26.440
16,5,Gabriel BortoletoBOR,Kick Sauber,1:26.446
17,18,Lance StrollSTR,Aston Martin,1:26.504
18,87,Oliver BearmanBEA,Haas,1:25.471
19,27,Nico HulkenbergHUL,Kick Sauber,1:26.574
20,43,Franco ColapintoCOL,Alpine,1:27.060
