POS.,NO.,DRIVER,TEAM,TIME
1,81,Oscar PiastriPIA,McLaren,1:30.641
2,63,George RussellRUS,Mercedes,1:30.723
3,4,Lando NorrisNOR,McLaren,1:30.793
4,1,Max VerstappenVER,Red Bull Racing,1:30.817
5,44,Lewis HamiltonHAM,Ferrari,1:30.927
6,16,Charles LeclercLEC,Ferrari,1:31.021
7,6,Isack HadjarHAD,Racing Bulls,1:31.079
8,12,Kimi AntonelliANT,Mercedes,1:31.103
9,22,Yuki TsunodaTSU,Racing Bulls,1:31.638
10,23,Alexander AlbonALB,Williams,1:31.706
11,31,Esteban OconOCO,Haas,1:31.625
12,27,Nico HulkenbergHUL,Kick Sauber,1:31.632
13,14,Fernando AlonsoALO,Aston Martin,1:31.688
14,18,Lance StrollSTR,Aston Martin,1:31.773
15,55,Carlos SainzSAI,Williams,1:31.840
16,10,Pierre GaslyGAS,Alpine,1:31.992
17,87,Oliver BearmanBEA,Haas,1:32.018
18,7,Jack DoohanDOO,Alpine,1:32.092
19,5,Gabriel BortoletoBOR,Kick Sauber,1:32.141
20,30,Liam LawsonLAW,Red Bull Racing,1:32.174
