POS.,NO.,DRIVER,TEAM,TIME
1,81,Oscar PiastriPIA,McLaren,1:14.670
2,1,Max VerstappenVER,Red Bull Racing,1:14.704
3,63,George RussellRUS,Mercedes,1:14.807
4,4,Lando NorrisNOR,McLaren,1:14.962
5,14,Fernando AlonsoALO,Aston Martin,1:15.431
6,55,Carlos SainzSAI,Williams,1:15.432
7,23,Alexander AlbonALB,Williams,1:15.473
8,18,Lance StrollSTR,Aston Martin,1:15.581
9,6,Isack HadjarHAD,Racing Bulls,1:15.746
10,10,Pierre GaslyGAS,Alpine,1:15.787
11,16,Charles LeclercLEC,Ferrari,1:15.604
12,44,Lewis HamiltonHAM,Ferrari,1:15.765
13,12,Kimi AntonelliANT,Mercedes,1:15.772
14,5,Gabriel BortoletoBOR,Kick Sauber,1:16.260
15,30,Liam LawsonLAW,Racing Bulls,1:16.379
16,43,Franco ColapintoCOL,Alpine,
17,27,Nico HulkenbergHUL,Kick Sauber,1:16.518
18,31,Esteban OconOCO,Haas,1:16.613
19,87,Oliver BearmanBEA,Haas,1:16.918
20,22,Yuki TsunodaTSU,Red Bull Racing,
