POS.,NO.,DRIVER,TEAM,TIME
1,81,Oscar PiastriPIA,McLaren,1:29.841
2,16,Charles LeclercLEC,Ferrari,1:30.175
3,63,George RussellRUS,Mercedes,1:30.009
4,10,Pierre GaslyGAS,Alpine,1:30.216
5,12,Kimi AntonelliANT,Mercedes,1:30.213
6,4,Lando NorrisNOR,McLaren,1:30.267
7,1,Max VerstappenVER,Red Bull Racing,1:30.423
8,55,Carlos SainzSAI,Williams,1:30.680
9,44,Lewis HamiltonHAM,Ferrari,1:30.772
10,22,Yuki TsunodaTSU,Red Bull Racing,1:31.303
11,7,Jack DoohanDOO,Alpine,1:31.245
12,6,Isack HadjarHAD,Racing Bulls,1:31.271
13,14,Fernando AlonsoALO,Aston Martin,1:31.886
14,31,Esteban OconOCO,Haas,
15,23,Alexander AlbonALB,Williams,
16,27,Nico HulkenbergHUL,Kick Sauber,1:32.067
17,30,Liam LawsonLAW,Racing Bulls,1:32.165
18,5,Gabriel BortoletoBOR,Kick Sauber,1:32.186
19,18,Lance StrollSTR,Aston Martin,1:32.283
20,87,Oliver BearmanBEA,Haas,1:32.373
