Pos.,No.,Driver,Team,Time
1,63,George RussellRUS,Mercedes,1:29.158
2,1,Max VerstappenVER,Red Bull Racing,1:29.340
3,81,Oscar PiastriPIA,McLaren,1:29.524
4,12,Kimi AntonelliANT,Mercedes,1:29.537
5,4,Lando NorrisNOR,McLaren,1:29.586
6,44,Lewis HamiltonHAM,Ferrari,1:29.688
7,16,Charles LeclercLEC,Ferrari,1:29.784
8,6,Isack HadjarHAD,Racing Bulls,1:29.846
9,87,Oliver BearmanBEA,Haas F1 Team,1:29.868
10,14,Fernando AlonsoALO,Aston Martin,1:29.955
11,27,Nico HulkenbergHUL,Kick Sauber,1:30.141
12,30,Liam LawsonLAW,Racing Bulls,1:30.320
13,22,Yuki TsunodaTSU,Red Bull Racing,1:30.353
14,5,Gabriel BortoletoBOR,Kick Sauber,1:30.820
15,18,Lance StrollSTR,Aston Martin,1:30.949
16,43,Franco ColapintoCOL,Alpine,1:30.982
17,31,Esteban OconOCO,Haas F1 Team,1:30.989
18,55,Carlos SainzSAI,Williams,
19,10,Pierre GaslyGAS,Alpine,1:31.261
20,23,Alexander AlbonALB,Williams,
