POS.,NO.,DRIVER,TEAM,TIME
1,1,Max VerstappenVER,Red Bull Racing,1:26.983
2,4,Lando NorrisNOR,McLaren,1:26.995
3,81,Oscar PiastriPIA,McLaren,1:27.027
4,16,Charles LeclercLEC,Ferrari,1:27.299
5,63,George RussellRUS,Mercedes,1:27.318
6,12,Kimi AntonelliANT,Mercedes,1:27.555
7,6,Isack HadjarHAD,Racing Bulls,1:27.569
8,44,Lewis HamiltonHAM,Ferrari,1:27.610
9,23,Alexander AlbonALB,Williams,1:27.615
10,87,Oliver BearmanBEA,Haas,1:27.867
11,10,Pierre GaslyGAS,Alpine,1:27.822
12,14,Fernando AlonsoALO,Aston Martin,1:27.897
13,30,Liam LawsonLAW,Racing Bulls,1:27.906
14,22,Yuki TsunodaTSU,Red Bull Racing,1:28
15,55,Carlos SainzSAI,Williams,1:27.836
16,27,Nico HulkenbergHUL,Kick Sauber,1:28.570
17,5,Gabriel BortoletoBOR,Kick Sauber,1:28.622
18,31,Esteban OconOCO,Haas,1:28.696
19,7,Jack DoohanDOO,Alpine,1:28.877
20,18,Lance StrollSTR,Aston Martin,1:29.271
