POS.,NO.,DRIVER,TEAM,TIME
1,1,Max VerstappenVER,Red Bull Racing,1:27.294
2,81,Oscar PiastriPIA,McLaren,1:27.304
3,63,George RussellRUS,Mercedes,1:27.407
4,16,Charles LeclercLEC,Ferrari,1:27.670
5,12,Kimi AntonelliANT,Mercedes,1:27.866
6,55,Carlos SainzSAI,Williams,1:28.164
7,44,Lewis HamiltonHAM,Ferrari,1:28.201
8,22,Yuki TsunodaTSU,Red Bull Racing,1:28.204
9,10,Pierre GaslyGAS,Alpine,1:28.367
10,4,Lando NorrisNOR,McLaren,
11,23,Alexander AlbonALB,Williams,1:28.109
12,30,Liam LawsonLAW,Racing Bulls,1:28.191
13,14,Fernando AlonsoALO,Aston Martin,1:28.303
14,6,Isack HadjarHAD,Racing Bulls,1:28.418
15,87,Oliver BearmanBEA,Haas,1:28.648
16,18,Lance StrollSTR,Aston Martin,1:28.645
17,7,Jack DoohanDOO,Alpine,1:28.739
18,27,Nico HulkenbergHUL,Kick Sauber,1:28.782
19,31,Esteban OconOCO,Haas,1:29.092
20,5,Gabriel BortoletoBOR,Kick Sauber,1:29.462
