POS.,NO.,DRIVER,TEAM,TIME
1,1,Max VerstappenVER,Red Bull Racing,1:26.204
2,4,Lando NorrisNOR,McLaren,1:26.269
3,12,Kimi AntonelliANT,Mercedes,1:26.271
4,81,Oscar PiastriPIA,McLaren,1:26.375
5,63,George RussellRUS,Mercedes,1:26.385
6,55,Carlos SainzSAI,Williams,1:26.569
7,23,Alexander AlbonALB,Williams,1:26.682
8,16,Charles LeclercLEC,Ferrari,1:26.754
9,31,Esteban OconOCO,Haas,1:26.824
10,22,Yuki TsunodaTSU,Red Bull Racing,1:26.943
11,6,Isack HadjarHAD,Racing Bulls,1:26.987
12,44,Lewis HamiltonHAM,Ferrari,1:27.006
13,5,Gabriel BortoletoBOR,Kick Sauber,1:27.151
14,7,Jack DoohanDOO,Alpine,1:27.186
15,30,Liam LawsonLAW,Racing Bulls,1:27.363
16,27,Nico HulkenbergHUL,Kick Sauber,1:27.473
17,14,Fernando AlonsoALO,Aston Martin,1:27.604
18,18,Lance StrollSTR,Aston Martin,1:27.830
19,87,Oliver BearmanBEA,Haas,1:27.999
20,10,Pierre GaslyGAS,Alpine,1:27.710
