POS.,NO.,DRIVER,TEAM,TIME
1,4,Lando NorrisNOR,McLaren,1:03.971
2,16,Charles LeclercLEC,Ferrari,1:04.492
3,81,Oscar PiastriPIA,McLaren,1:04.554
4,44,Lewis HamiltonHAM,Ferrari,1:04.582
5,63,George RussellRUS,Mercedes,1:04.763
6,30,Liam LawsonLAW,Racing Bulls,1:04.926
7,1,Max VerstappenVER,Red Bull Racing,1:04.929
8,5,Gabriel BortoletoBOR,Kick Sauber,1:05.132
9,12,Kimi AntonelliANT,Mercedes,1:05.276
10,10,Pierre GaslyGAS,Alpine,1:05.649
11,14,Fernando AlonsoALO,Aston Martin,1:05.128
12,23,Alexander AlbonALB,Williams,1:05.205
13,6,Isack HadjarHAD,Racing Bulls,1:05.226
14,43,Franco ColapintoCOL,Alpine,1:05.288
15,87,Oliver BearmanBEA,Haas,1:05.312
16,18,Lance StrollSTR,Aston Martin,1:05.329
17,31,Esteban OconOCO,Haas,1:05.364
18,22,Yuki TsunodaTSU,Red Bull Racing,1:05.369
19,55,Carlos SainzSAI,Williams,1:05.582
20,27,Nico HulkenbergHUL,Kick Sauber,1:05.606
