POS.,NO.,DRIVER,TEAM,TIME
1,1,Max VerstappenVER,Red Bull Racing,1:41.117
2,55,Carlos SainzSAI,Williams,1:41.595
3,30,Liam LawsonLAW,Racing Bulls,1:41.707
4,12,Kimi AntonelliANT,Mercedes,1:41.717
5,63,George RussellRUS,Mercedes,1:42.070
6,22,Yuki TsunodaTSU,Red Bull Racing,1:42.143
7,4,Lando NorrisNOR,McLaren,1:42.239
8,6,Isack HadjarHAD,Racing Bulls,1:42.372
9,81,Oscar PiastriPIA,McLaren,
10,16,Charles LeclercLEC,Ferrari,
11,14,Fernando AlonsoALO,Aston Martin,1:41.857
12,44,Lewis HamiltonHAM,Ferrari,1:42.183
13,5,Gabriel BortoletoBOR,Kick Sauber,1:42.277
14,18,Lance StrollSTR,Aston Martin,1:43.061
15,87,Oliver BearmanBEA,Haas,
16,43,Franco ColapintoCOL,Alpine,1:42.779
17,27,Nico HulkenbergHUL,Kick Sauber,1:42.916
18,10,Pierre GaslyGAS,Alpine,1:43.139
19,23,Alexander AlbonALB,Williams,1:43.778
20,31,Esteban OconOCO,Haas,
