POS.,NO.,DRIVER,TEAM,TIME
1,63,George RussellRUS,Mercedes,1:10.899
2,1,Max VerstappenVER,Red Bull Racing,1:11.059
3,81,Oscar PiastriPIA,McLaren,1:11.120
4,12,Kimi AntonelliANT,Mercedes,1:11.391
5,44,Lewis HamiltonHAM,Ferrari,1:11.526
6,14,Fernando AlonsoALO,Aston Martin,1:11.586
7,4,Lando NorrisNOR,McLaren,1:11.625
8,16,Charles LeclercLEC,Ferrari,1:11.682
9,23,Alexander AlbonALB,Williams,1:11.907
10,43,Franco ColapintoCOL,Alpine,1:12.142
11,27,Nico HulkenbergHUL,Kick Sauber,1:12.183
12,6,Isack HadjarHAD,Racing Bulls,1:11.867
13,87,Oliver BearmanBEA,Haas,1:12.340
14,31,Esteban OconOCO,Haas,1:12.634
15,5,Gabriel BortoletoBOR,Kick Sauber,1:12.385
16,55,Carlos SainzSAI,Williams,1:12.398
17,18,Lance StrollSTR,Aston Martin,1:12.517
18,22,Yuki TsunodaTSU,Red Bull Racing,1:12.102
19,30,Liam LawsonLAW,Racing Bulls,1:12.525
20,10,Pierre GaslyGAS,Alpine,1:12.667
