POS.,NO.,DRIVER,TEAM,TIME
1,81,Oscar PiastriPIA,McLaren,1:11.546
2,4,Lando NorrisNOR,McLaren,1:11.755
3,1,Max VerstappenVER,Red Bull Racing,1:11.848
4,63,George RussellRUS,Mercedes,1:11.848
5,44,Lewis HamiltonHAM,Ferrari,1:12.045
6,12,Kimi AntonelliANT,Mercedes,1:12.111
7,16,Charles LeclercLEC,Ferrari,1:12.131
8,10,Pierre GaslyGAS,Alpine,1:12.199
9,6,Isack HadjarHAD,Racing Bulls,1:12.252
10,14,Fernando AlonsoALO,Aston Martin,1:12.284
11,23,Alexander AlbonALB,Williams,1:12.641
12,5,Gabriel BortoletoBOR,Kick Sauber,1:12.756
13,30,Liam LawsonLAW,Racing Bulls,1:12.763
14,18,Lance StrollSTR,Aston Martin,1:13.058
14,87,Oliver BearmanBEA,Haas,1:13.315
15,27,Nico HulkenbergHUL,Kick Sauber,1:13.190
16,31,Esteban OconOCO,Haas,1:13.201
17,55,Carlos SainzSAI,Williams,1:13.203
18,43,Franco ColapintoCOL,Alpine,1:13.334
19,22,Yuki TsunodaTSU,Red Bull Racing,1:13.385
