Position,Driver Number,Driver,Car,Time
1,4,Lando NorrisNOR,McLaren Mercedes,1:15.096
2,81,Oscar PiastriPIA,McLaren Mercedes,1:15.180
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:15.481
4,63,George RussellRUS,Mercedes,1:15.546
5,22,Yuki TsunodaTSU,Racing Bulls Honda RBPT,1:15.670
6,23,Alexander AlbonALB,Williams Mercedes,1:15.737
7,16,Charles LeclercLEC,Ferrari,1:15.755
8,44,Lewis HamiltonHAM,Ferrari,1:15.973
9,10,Pierre GaslyGAS,Alpine Renault,1:15.980
10,55,Carlos SainzSAI,Williams Mercedes,1:16.062
11,6,Isack HadjarHAD,Racing Bulls Honda RBPT,1:16.175
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:16.453
13,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:16.483
14,7,Jack DoohanDOO,Alpine Renault,1:16.863
15,5,Gabriel BortoletoBOR,Kick Sauber Ferrari,1:17.520
16,12,Andrea Kimi AntonelliANT,Mercedes,1:16.525
17,27,Nico HulkenbergHUL,Kick Sauber Ferrari,1:16.579
18,30,Liam LawsonLAW,Red Bull Racing Honda RBPT,1:17.094
19,31,Esteban OconOCO,Haas Ferrari,1:17.147
20,87,Oliver BearmanBEA,Haas Ferrari,
