POS.,NO.,DRIVER,TEAM,TIME
1,1,Max VerstappenVER,Red Bull Racing,1:18.792
2,4,Lando NorrisNOR,McLaren,1:18.869
3,81,Oscar PiastriPIA,McLaren,1:18.982
4,16,Charles LeclercLEC,Ferrari,1:19.007
5,63,George RussellRUS,Mercedes,1:19.157
6,12,Kimi AntonelliANT,Mercedes,1:19.200
7,5,Gabriel BortoletoBOR,Kick Sauber,1:19.390
8,14,Fernando AlonsoALO,Aston Martin,1:19.424
9,22,Yuki TsunodaTSU,Red Bull Racing,1:19.519
10,44,Lewis HamiltonHAM,Ferrari,1:19.124
11,87,Oliver BearmanBEA,Haas,1:19.446
12,27,Nico HulkenbergHUL,Kick Sauber,1:19.498
13,55,Carlos SainzSAI,Williams,1:19.528
14,23,Alexander AlbonALB,Williams,1:19.583
15,31,Esteban OconOCO,Haas,1:19.707
16,18,Lance StrollSTR,Aston Martin,1:19.948
17,43,Franco ColapintoCOL,Alpine,1:19.992
18,30,Liam LawsonLAW,Racing Bulls,1:20.279
19,6,Isack HadjarHAD,Racing Bulls,1:19.917
20,10,Pierre GaslyGAS,Alpine,1:20.103
