Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:12.345,,27
2,55,Carlos SainzSAI,Ferrari,1:12.349,+0.004s,30
3,44,Lewis HamiltonHAM,Mercedes,1:12.417,+0.072s,21
4,4,Lando NorrisNOR,McLaren Mercedes,1:12.448,+0.103s,24
5,63,George RussellRUS,Mercedes,1:12.655,+0.310s,27
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:12.746,+0.401s,28
7,14,Fernando AlonsoALO,Alpine Renault,1:12.848,+0.503s,25
8,1,Max VerstappenVER,Red Bull Racing RBPT,1:13.042,+0.697s,22
9,31,Esteban OconOCO,Alpine Renault,1:13.305,+0.960s,27
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:13.362,+1.017s,10
11,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:13.419,+1.074s,19
12,11,Sergio PerezPER,Red Bull Racing RBPT,1:13.493,+1.148s,23
13,47,Mick SchumacherMSC,Haas Ferrari,1:13.604,+1.259s,27
14,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,1:13.611,+1.266s,27
15,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:13.624,+1.279s,25
16,10,Pierre GaslyGAS,AlphaTauri RBPT,1:13.666,+1.321s,16
17,23,Alexander AlbonALB,Williams Mercedes,1:13.837,+1.492s,26
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:14.167,+1.822s,27
19,20,Kevin MagnussenMAG,Haas Ferrari,1:14.282,+1.937s,25
20,6,Nicholas LatifiLAT,Williams Mercedes,1:14.797,+2.452s,24
