Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:30.074,,15
2,1,Max VerstappenVER,Red Bull Racing RBPT,1:30.214,+0.140s,23
3,55,Carlos SainzSAI,Ferrari,1:30.320,+0.246s,12
4,11,Sergio PerezPER,Red Bull Racing RBPT,1:30.360,+0.286s,24
5,44,Lewis HamiltonHAM,Mercedes,1:30.513,+0.439s,24
6,63,George RussellRUS,Mercedes,1:30.664,+0.590s,29
7,4,Lando NorrisNOR,McLaren Mercedes,1:30.735,+0.661s,26
8,31,Esteban OconOCO,Alpine Renault,1:30.760,+0.686s,26
9,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:30.832,+0.758s,14
10,22,Yuki TsunodaTSU,AlphaTauri RBPT,1:30.886,+0.812s,26
11,14,Fernando AlonsoALO,Alpine Renault,1:30.944,+0.870s,27
12,10,Pierre GaslyGAS,AlphaTauri RBPT,1:30.963,+0.889s,29
13,47,Mick SchumacherMSC,Haas Ferrari,1:31.169,+1.095s,27
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.372,+1.298s,28
15,3,Daniel RicciardoRIC,McLaren Mercedes,1:31.527,+1.453s,23
16,27,Nico HulkenbergHUL,Aston Martin Aramco Mercedes,1:31.615,+1.541s,30
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:31.615,+1.541s,27
18,6,Nicholas LatifiLAT,Williams Mercedes,1:31.814,+1.740s,26
19,23,Alexander AlbonALB,Williams Mercedes,1:31.866,+1.792s,29
20,20,Kevin MagnussenMAG,Haas Ferrari,1:32.344,+2.270s,13
