Pos,No,Driver,Car,Time,Laps
1,7,David CoulthardCOU,McLaren Mercedes,1:18.213,11
2,8,Mika HakkinenHAK,McLaren Mercedes,1:18.282,11
3,3,Michael SchumacherMSC,Ferrari,1:18.497,12
4,5,Giancarlo FisichellaFIS,Benetton Playlife,1:18.826,12
5,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:19.242,12
6,1,Jacques VilleneuveVIL,Williams Mecachrome,1:19.588,12
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:19.614,12
8,4,Eddie IrvineIRV,Ferrari,1:19.616,12
9,14,Jean AlesiALE,Sauber Petronas,1:19.693,12
10,9,Damon HillHIL,Jordan Mugen Honda,1:19.717,12
11,6,Alexander WurzWUR,Benetton Playlife,1:19.765,12
12,15,Johnny HerbertHER,Sauber Petronas,1:19.845,12
13,18,Rubens BarrichelloBAR,Stewart Ford,1:19.953,8
14,12,Jarno TrulliTRU,Prost Peugeot,1:20.188,11
15,11,Olivier PanisPAN,Prost Peugeot,1:20.303,11
16,21,Toranosuke TakagiTAK,Tyrrell Ford,1:20.328,12
17,17,Mika SaloSAL,Arrows,1:20.536,12
18,22,Shinji NakanoNAK,Minardi Ford,1:21.230,12
19,16,Pedro DinizDIN,Arrows,1:21.301,12
20,19,Jan MagnussenMAG,Stewart Ford,1:21.629,11
21,23,Esteban TueroTUE,Minardi Ford,1:21.822,12
22,20,Ricardo RossetROS,Tyrrell Ford,1:21.824,12
