Pos,No,Driver,Car,Time,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:16.973,11
2,7,David CoulthardCOU,McLaren Mercedes,1:17.131,11
3,3,Michael SchumacherMSC,Ferrari,1:17.366,10
4,9,Damon HillHIL,Jordan Mugen Honda,1:18.214,12
5,4,Eddie IrvineIRV,Ferrari,1:18.325,12
6,1,Jacques VilleneuveVIL,Williams Mecachrome,1:18.337,12
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:19.029,12
8,5,Giancarlo FisichellaFIS,Benetton Playlife,1:19.050,12
9,6,Alexander WurzWUR,Benetton Playlife,1:19.063,12
10,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:19.171,12
11,14,Jean AlesiALE,Sauber Petronas,1:19.210,12
12,16,Pedro DinizDIN,Arrows,1:19.706,12
13,17,Mika SaloSAL,Arrows,1:19.712,12
14,18,Rubens BarrichelloBAR,Stewart Ford,1:19.876,11
15,15,Johnny HerbertHER,Sauber Petronas,1:19.878,11
16,12,Jarno TrulliTRU,Prost Peugeot,1:20.042,12
17,19,Jos VerstappenVER,Stewart Ford,1:20.198,12
18,21,Toranosuke TakagiTAK,Tyrrell Ford,1:20.354,12
19,22,Shinji NakanoNAK,Minardi Ford,1:20.635,12
20,11,Olivier PanisPAN,Prost Peugeot,1:20.663,12
21,23,Esteban TueroTUE,Minardi Ford,1:21.725,12
NC,20,Ricardo RossetROS,Tyrrell Ford,1:23.140,11
