Pos,No,Driver,Car,Time,Laps
1,7,David CoulthardCOU,McLaren Mercedes,1:25.852,12
2,3,Michael SchumacherMSC,Ferrari,1:26.251,12
3,8,Mika HakkinenHAK,McLaren Mercedes,1:26.632,12
4,4,Eddie IrvineIRV,Ferrari,1:26.780,11
5,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:26.827,12
6,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:26.876,12
7,1,Jacques VilleneuveVIL,Williams Mecachrome,1:26.941,12
8,6,Alexander WurzWUR,Benetton Playlife,1:27.198,12
9,9,Damon HillHIL,Jordan Mugen Honda,1:27.483,12
10,5,Giancarlo FisichellaFIS,Benetton Playlife,1:27.836,12
11,14,Jean AlesiALE,Sauber Petronas,1:27.839,11
12,15,Johnny HerbertHER,Sauber Petronas,1:28.016,11
13,21,Toranosuke TakagiTAK,Tyrrell Ford,1:28.811,12
14,18,Rubens BarrichelloBAR,Stewart Ford,1:29.249,12
15,11,Olivier PanisPAN,Prost Peugeot,1:29.320,12
16,12,Jarno TrulliTRU,Prost Peugeot,1:29.352,10
17,17,Mika SaloSAL,Arrows,1:29.617,12
18,16,Pedro DinizDIN,Arrows,1:30.022,11
19,22,Shinji NakanoNAK,Minardi Ford,1:30.054,12
20,23,Esteban TueroTUE,Minardi Ford,1:30.158,12
21,20,Ricardo RossetROS,Tyrrell Ford,1:30.437,12
22,19,Jan MagnussenMAG,Stewart Ford,1:31.178,11
