Pos,No,Driver,Car,Time,Laps
1,3,Michael SchumacherMSC,Ferrari,1:36.293,8
2,8,Mika HakkinenHAK,McLaren Mercedes,1:36.471,11
3,7,David CoulthardCOU,McLaren Mercedes,1:37.496,10
4,4,Eddie IrvineIRV,Ferrari,1:38.197,8
5,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:38.272,11
6,1,Jacques VilleneuveVIL,Williams Mecachrome,1:38.448,12
7,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:38.461,12
8,9,Damon HillHIL,Jordan Mugen Honda,1:38.603,12
9,6,Alexander WurzWUR,Benetton Playlife,1:38.959,12
10,5,Giancarlo FisichellaFIS,Benetton Playlife,1:39.080,11
11,15,Johnny HerbertHER,Sauber Petronas,1:39.234,12
12,14,Jean AlesiALE,Sauber Petronas,1:39.448,12
13,11,Olivier PanisPAN,Prost Peugeot,1:40.037,12
14,12,Jarno TrulliTRU,Prost Peugeot,1:40.111,12
15,17,Mika SaloSAL,Arrows,1:40.387,12
16,18,Rubens BarrichelloBAR,Stewart Ford,1:40.502,12
17,21,Toranosuke TakagiTAK,Tyrrell Ford,1:40.619,11
18,16,Pedro DinizDIN,Arrows,1:40.687,12
19,19,Jos VerstappenVER,Stewart Ford,1:40.943,11
20,22,Shinji NakanoNAK,Minardi Ford,1:41.315,12
21,23,Esteban TueroTUE,Minardi Ford,1:42.358,12
NC,20,Ricardo RossetROS,Tyrrell Ford,1:43.259,9
