Pos,No,Driver,Car,Time,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:17.092,8
2,7,David CoulthardCOU,McLaren Mercedes,1:17.757,9
3,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:18.109,12
4,3,Michael SchumacherMSC,Ferrari,1:18.250,12
5,6,Alexander WurzWUR,Benetton Playlife,1:18.261,12
6,4,Eddie IrvineIRV,Ferrari,1:18.449,12
7,5,Giancarlo FisichellaFIS,Benetton Playlife,1:18.652,9
8,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:18.735,12
9,11,Olivier PanisPAN,Prost Peugeot,1:18.753,12
10,1,Jacques VilleneuveVIL,Williams Mecachrome,1:18.761,11
11,9,Damon HillHIL,Jordan Mugen Honda,1:18.988,12
12,12,Jarno TrulliTRU,Prost Peugeot,1:19.069,12
13,18,Rubens BarrichelloBAR,Stewart Ford,1:19.344,12
14,15,Johnny HerbertHER,Sauber Petronas,1:19.375,12
15,14,Jean AlesiALE,Sauber Petronas,1:19.449,12
16,19,Jan MagnussenMAG,Stewart Ford,1:19.644,12
17,21,Toranosuke TakagiTAK,Tyrrell Ford,1:20.203,11
18,22,Shinji NakanoNAK,Minardi Ford,1:20.390,12
19,23,Esteban TueroTUE,Minardi Ford,1:20.459,11
20,17,Mika SaloSAL,Arrows,1:20.481,12
21,20,Ricardo RossetROS,Tyrrell Ford,1:20.748,11
22,16,Pedro DinizDIN,Arrows,1:20.847,12
