Pos,No,Driver,Car,Time,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:48.682,11
2,7,David CoulthardCOU,McLaren Mercedes,1:48.845,12
3,9,Damon HillHIL,Jordan Mugen Honda,1:49.728,11
4,3,Michael SchumacherMSC,Ferrari,1:50.027,12
5,4,Eddie IrvineIRV,Ferrari,1:50.189,12
6,1,Jacques VilleneuveVIL,Williams Mecachrome,1:50.204,12
7,5,Giancarlo FisichellaFIS,Benetton Playlife,1:50.462,12
8,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:50.501,12
9,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:50.686,11
10,14,Jean AlesiALE,Sauber Petronas,1:51.189,11
11,6,Alexander WurzWUR,Benetton Playlife,1:51.648,12
12,15,Johnny HerbertHER,Sauber Petronas,1:51.851,11
13,12,Jarno TrulliTRU,Prost Peugeot,1:52.572,10
14,18,Rubens BarrichelloBAR,Stewart Ford,1:52.670,12
15,11,Olivier PanisPAN,Prost Peugeot,1:52.784,12
16,16,Pedro DinizDIN,Arrows,1:53.037,12
17,19,Jos VerstappenVER,Stewart Ford,1:53.149,12
18,17,Mika SaloSAL,Arrows,1:53.207,8
19,21,Toranosuke TakagiTAK,Tyrrell Ford,1:53.237,12
20,20,Ricardo RossetROS,Tyrrell Ford,1:54.850,11
21,22,Shinji NakanoNAK,Minardi Ford,1:55.084,12
22,23,Esteban TueroTUE,Minardi Ford,1:55.520,12
