Pos,No,Driver,Car,Time,Laps
1,5,Giancarlo FisichellaFIS,Benetton Playlife,1:29.598,12
2,14,Jean AlesiALE,Sauber Petronas,1:30.317,12
3,8,Mika HakkinenHAK,McLaren Mercedes,1:30.517,12
4,3,Michael SchumacherMSC,Ferrari,1:30.551,10
5,18,Rubens BarrichelloBAR,Stewart Ford,1:31.005,12
6,17,Mika SaloSAL,Arrows,1:31.028,11
7,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:31.515,11
8,4,Eddie IrvineIRV,Ferrari,1:31.651,9
9,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:31.917,12
10,11,Olivier PanisPAN,Prost Peugeot,1:32.081,12
11,1,Jacques VilleneuveVIL,Williams Mecachrome,1:32.083,11
12,19,Jos VerstappenVER,Stewart Ford,1:32.099,12
13,16,Pedro DinizDIN,Arrows,1:32.206,12
14,7,David CoulthardCOU,McLaren Mercedes,1:32.399,12
15,9,Damon HillHIL,Jordan Mugen Honda,1:32.718,11
16,12,Jarno TrulliTRU,Prost Peugeot,1:32.906,12
17,6,Alexander WurzWUR,Benetton Playlife,1:33.185,10
18,15,Johnny HerbertHER,Sauber Petronas,1:33.205,10
19,23,Esteban TueroTUE,Minardi Ford,1:33.399,12
20,21,Toranosuke TakagiTAK,Tyrrell Ford,1:34.090,12
21,22,Shinji NakanoNAK,Minardi Ford,1:34.536,9
22,20,Ricardo RossetROS,Tyrrell Ford,1:34.910,11
