Pos,No,Driver,Car,Time
1,44,Lewis HamiltonHAM,Mercedes,1:26.134
2,33,Max VerstappenVER,Red Bull Racing Honda,1:26.209
3,77,Valtteri BottasBOT,Mercedes,1:26.328
4,16,Charles LeclercLEC,Ferrari,1:26.828
5,11,Sergio PerezPER,Red Bull Racing Honda,1:26.844
6,4,Lando NorrisNOR,McLaren Mercedes,1:26.897
7,3,Daniel RicciardoRIC,McLaren Mercedes,1:26.899
8,63,George RussellRUS,Williams Mercedes,1:26.971
9,55,Carlos SainzSAI,Ferrari,1:27.007
10,5,Sebastian VettelVET,Aston Martin Mercedes,1:27.179
11,14,Fernando AlonsoALO,Alpine Renault,1:27.245
12,10,Pierre GaslyGAS,AlphaTauri Honda,1:27.273
13,31,Esteban OconOCO,Alpine Renault,1:27.340
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:27.617
15,18,Lance StrollSTR,Aston Martin Mercedes,1:27.665
16,22,Yuki TsunodaTSU,AlphaTauri Honda,1:28.043
17,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:28.062
18,6,Nicholas LatifiLAT,Williams Mercedes,1:28.254
19,47,Mick SchumacherMSC,Haas Ferrari,1:28.738
20,9,Nikita MazepinMAZ,Haas Ferrari,1:29.051
