Pos,No,Driver,Car,Time
1,33,Max VerstappenVER,Red Bull Racing Honda,1:08.372
2,77,Valtteri BottasBOT,Mercedes,1:08.469
3,11,Sergio PerezPER,Red Bull Racing Honda,1:08.483
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:08.777
5,55,Carlos SainzSAI,Ferrari,1:08.826
6,16,Charles LeclercLEC,Ferrari,1:08.960
7,4,Lando NorrisNOR,McLaren Mercedes,1:08.980
8,3,Daniel RicciardoRIC,McLaren Mercedes,1:09.039
9,14,Fernando AlonsoALO,Alpine Renault,1:09.113
10,31,Esteban OconOCO,Alpine Renault,1:09.189
11,5,Sebastian VettelVET,Aston Martin Mercedes,1:09.399
12,22,Yuki TsunodaTSU,AlphaTauri Honda,1:09.483
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:09.503
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:10.227
15,18,Lance StrollSTR,Aston Martin Mercedes,1:09.663
16,6,Nicholas LatifiLAT,Williams Mercedes,1:09.897
17,63,George RussellRUS,Williams Mercedes,1:09.953
18,47,Mick SchumacherMSC,Haas Ferrari,1:10.329
19,9,Nikita MazepinMAZ,Haas Ferrari,1:10.589
20,44,Lewis HamiltonHAM,Mercedes,
