Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,70,15:37:54,1:14.481,210.786
2,44,Lewis HamiltonHAM,Mercedes,47,15:08:05,1:15.396,208.228
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,68,15:34:31,1:15.594,207.683
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,62,15:27:03,1:15.779,207.176
5,16,Charles LeclercLEC,Ferrari,47,15:08:09,1:15.907,206.826
6,55,Carlos SainzSAI,Ferrari,47,15:08:11,1:15.911,206.815
7,20,Kevin MagnussenMAG,Haas Ferrari,55,15:20:19,1:16.126,206.231
8,4,Lando NorrisNOR,McLaren Mercedes,65,15:31:39,1:16.374,205.562
9,10,Pierre GaslyGAS,Alpine Renault,67,15:34:18,1:16.425,205.424
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,58,15:22:41,1:16.564,205.051
11,81,Oscar PiastriPIA,McLaren Mercedes,59,15:24:02,1:16.598,204.960
12,77,Valtteri BottasBOT,Alfa Romeo Ferrari,52,15:14:57,1:16.625,204.888
13,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,52,15:16:29,1:16.656,204.805
14,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,68,15:35:43,1:16.666,204.779
15,31,Esteban OconOCO,Alpine Renault,63,15:29:04,1:16.782,204.469
16,23,Alexander AlbonALB,Williams Mercedes,68,15:35:30,1:16.917,204.110
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,58,15:23:03,1:17.090,203.652
18,63,George RussellRUS,Mercedes,44,15:04:35,1:17.097,203.634
19,27,Nico HulkenbergHUL,Haas Ferrari,37,14:55:47,1:17.232,203.278
20,2,Logan SargeantSAR,Williams Mercedes,4,14:08:36,1:18.437,200.155
