Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,71,16:06:02,1:21.334,190.503
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,40,15:23:19,1:21.644,189.780
3,4,Lando NorrisNOR,McLaren Mercedes,71,16:06:22,1:21.944,189.085
4,16,Charles LeclercLEC,Ferrari,38,15:20:37,1:22.332,188.194
5,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,11,14:19:49,1:22.501,187.808
6,55,Carlos SainzSAI,Ferrari,57,15:46:57,1:22.539,187.722
7,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,66,15:59:32,1:22.679,187.404
8,81,Oscar PiastriPIA,McLaren Mercedes,53,15:41:33,1:22.760,187.220
9,23,Alexander AlbonALB,Williams Mercedes,65,15:58:20,1:22.773,187.191
10,63,George RussellRUS,Mercedes,38,15:20:40,1:22.780,187.175
11,31,Esteban OconOCO,Alpine Renault,66,15:59:55,1:22.976,186.733
12,2,Logan SargeantSAR,Williams Mercedes,24,14:38:12,1:23.003,186.672
13,20,Kevin MagnussenMAG,Haas Ferrari,25,14:39:37,1:23.146,186.351
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,43,15:27:45,1:23.166,186.306
15,27,Nico HulkenbergHUL,Haas Ferrari,43,15:27:41,1:23.222,186.181
16,10,Pierre GaslyGAS,Alpine Renault,43,15:27:43,1:23.230,186.163
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,43,15:27:46,1:23.257,186.103
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,40,15:23:39,1:23.531,185.492
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,39,15:22:14,1:23.567,185.412
