Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,56,21:29:47,1:24.319,231.364
2,4,Lando NorrisNOR,McLaren Mercedes,47,21:17:06,1:24.842,229.938
3,81,Oscar PiastriPIA,McLaren Mercedes,48,21:18:29,1:24.921,229.724
4,16,Charles LeclercLEC,Ferrari,57,21:31:51,1:24.992,229.532
5,63,George RussellRUS,Mercedes,35,20:59:39,1:25.770,227.450
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,21:32:01,1:26.045,226.723
7,11,Sergio PerezPER,Red Bull Racing Honda RBPT,50,21:22:17,1:26.220,226.263
8,10,Pierre GaslyGAS,Alpine Renault,49,21:20:48,1:26.310,226.027
9,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,54,21:28:08,1:26.323,225.993
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,55,21:29:31,1:26.352,225.917
11,31,Esteban OconOCO,Alpine Renault,42,21:10:00,1:26.450,225.661
12,27,Nico HulkenbergHUL,Haas Ferrari,45,21:15:25,1:26.489,225.559
13,77,Valtteri BottasBOT,Alfa Romeo Ferrari,54,21:27:58,1:26.652,225.135
14,23,Alexander AlbonALB,Williams Mercedes,57,21:32:33,1:26.666,225.098
15,20,Kevin MagnussenMAG,Haas Ferrari,46,21:16:36,1:27.067,224.061
16,40,Liam LawsonLAW,AlphaTauri Honda RBPT,54,21:28:44,1:27.113,223.943
17,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,55,21:29:51,1:27.174,223.786
18,2,Logan SargeantSAR,Williams Mercedes,31,20:54:19,1:27.983,221.729
