Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,47,21:25:58,1:35.867,185.507
2,63,George RussellRUS,Mercedes,46,21:24:17,1:36.273,184.724
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,47,21:27:03,1:36.456,184.374
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,61,21:49:05,1:36.575,184.147
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,61,21:49:38,1:37.108,183.136
6,23,Alexander AlbonALB,Williams Mercedes,46,21:24:52,1:37.342,182.696
7,55,Carlos SainzSAI,Ferrari,47,21:25:39,1:37.666,182.089
8,4,Lando NorrisNOR,McLaren Mercedes,46,21:24:03,1:38.046,181.384
9,77,Valtteri BottasBOT,Alfa Romeo Ferrari,51,21:33:25,1:38.075,181.330
10,20,Kevin MagnussenMAG,Haas Ferrari,48,21:28:27,1:38.107,181.271
11,16,Charles LeclercLEC,Ferrari,46,21:24:06,1:38.275,180.961
12,10,Pierre GaslyGAS,Alpine Renault,46,21:24:30,1:38.277,180.957
13,81,Oscar PiastriPIA,McLaren Mercedes,46,21:24:33,1:38.492,180.562
14,2,Logan SargeantSAR,Williams Mercedes,45,21:23:37,1:38.531,180.491
15,40,Liam LawsonLAW,AlphaTauri Honda RBPT,47,21:26:15,1:39.028,179.585
16,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,46,21:24:41,1:39.316,179.064
17,27,Nico HulkenbergHUL,Haas Ferrari,50,21:31:21,1:39.923,177.977
18,31,Esteban OconOCO,Alpine Renault,33,21:01:42,1:39.930,177.964
