Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,56,16:59:55,1:29.708,217.184
2,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,17:01:52,1:30.519,215.238
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,57,17:01:31,1:30.560,215.141
4,44,Lewis HamiltonHAM,Mercedes,57,17:02:16,1:30.669,214.882
5,18,Lance StrollSTR,Aston Martin Aramco Mercedes,44,16:42:41,1:30.862,214.426
6,27,Nico HulkenbergHUL,Haas Ferrari,36,16:30:21,1:30.901,214.334
7,63,George RussellRUS,Mercedes,57,17:01:58,1:31.015,214.065
8,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,56,17:00:58,1:31.038,214.011
9,31,Esteban OconOCO,Alpine Renault,56,17:00:52,1:31.143,213.765
10,55,Carlos SainzSAI,Ferrari,55,16:59:00,1:31.362,213.252
11,16,Charles LeclercLEC,Ferrari,57,17:02:18,1:31.434,213.084
12,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,57,17:02:54,1:31.562,212.786
13,20,Kevin MagnussenMAG,Haas Ferrari,53,16:56:21,1:31.691,212.487
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,56,17:01:11,1:31.736,212.383
15,77,Valtteri BottasBOT,Alfa Romeo Ferrari,56,17:01:05,1:31.838,212.147
16,23,Alexander AlbonALB,Williams Mercedes,55,16:59:34,1:31.852,212.115
17,10,Pierre GaslyGAS,Alpine Renault,55,16:59:17,1:31.971,211.840
18,81,Oscar PiastriPIA,McLaren Mercedes,56,17:01:46,1:32.006,211.760
19,2,Logan SargeantSAR,Williams Mercedes,50,16:52:39,1:32.384,210.893
20,4,Lando NorrisNOR,McLaren Mercedes,47,16:47:23,1:32.401,210.854
