Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,39,15:12:37,1:34.183,221.963
2,4,Lando NorrisNOR,McLaren Mercedes,40,15:14:28,1:35.247,219.484
3,44,Lewis HamiltonHAM,Mercedes,36,15:08:16,1:35.611,218.648
4,55,Carlos SainzSAI,Ferrari,40,15:14:49,1:36.187,217.339
5,81,Oscar PiastriPIA,McLaren Mercedes,38,15:11:23,1:36.328,217.021
6,16,Charles LeclercLEC,Ferrari,40,15:14:38,1:36.362,216.944
7,10,Pierre GaslyGAS,Alpine Renault,36,15:08:40,1:36.371,216.924
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,28,14:55:20,1:37.203,215.067
9,27,Nico HulkenbergHUL,Haas Ferrari,44,15:22:09,1:37.250,214.963
10,31,Esteban OconOCO,Alpine Renault,34,15:05:16,1:37.398,214.636
11,63,George RussellRUS,Mercedes,27,14:53:20,1:37.653,214.076
12,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,36,15:08:51,1:37.768,213.824
13,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,45,15:23:40,1:37.791,213.774
14,20,Kevin MagnussenMAG,Haas Ferrari,41,15:17:22,1:37.842,213.662
15,40,Liam LawsonLAW,AlphaTauri Honda RBPT,50,15:31:47,1:38.267,212.738
16,2,Logan SargeantSAR,Williams Mercedes,7,14:20:23,1:38.848,211.488
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,16,14:35:16,1:39.050,211.057
18,23,Alexander AlbonALB,Williams Mercedes,15,14:34:07,1:39.185,210.769
19,11,Sergio PerezPER,Red Bull Racing Honda RBPT,8,14:21:20,1:39.704,209.672
20,77,Valtteri BottasBOT,Alfa Romeo Ferrari,5,14:16:43,2:02.755,170.300
