Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,71,16:28:21,1:07.012,231.970
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,52,16:06:44,1:08.111,228.227
3,18,Lance StrollSTR,Aston Martin Aramco Mercedes,57,16:13:15,1:08.463,227.054
4,4,Lando NorrisNOR,McLaren Mercedes,48,16:02:05,1:08.739,226.142
5,16,Charles LeclercLEC,Ferrari,51,16:05:23,1:08.820,225.876
6,55,Carlos SainzSAI,Ferrari,50,16:04:22,1:08.880,225.679
7,10,Pierre GaslyGAS,Alpine Renault,48,16:02:34,1:09.046,225.136
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,54,16:09:10,1:09.108,224.934
9,44,Lewis HamiltonHAM,Mercedes,48,16:02:16,1:09.160,224.765
10,63,George RussellRUS,Mercedes,49,16:03:36,1:09.283,224.366
11,23,Alexander AlbonALB,Williams Mercedes,53,16:08:28,1:09.560,223.473
12,2,Logan SargeantSAR,Williams Mercedes,45,15:59:20,1:09.611,223.309
13,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,45,15:59:37,1:09.620,223.280
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,46,16:00:32,1:09.786,222.749
15,31,Esteban OconOCO,Alpine Renault,50,16:05:08,1:09.797,222.714
16,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,46,16:00:33,1:09.852,222.539
17,81,Oscar PiastriPIA,McLaren Mercedes,46,16:00:48,1:09.862,222.507
18,77,Valtteri BottasBOT,Alfa Romeo Ferrari,49,16:04:16,1:09.940,222.259
19,20,Kevin MagnussenMAG,Haas Ferrari,37,15:50:01,1:10.176,221.511
20,27,Nico HulkenbergHUL,Haas Ferrari,7,15:12:54,1:11.066,218.737
